elm_loc_name,elm_At,elm_Dturb,elm_Gmax,elm_Gmin,elm_R,elm_Tf,elm_Tg,elm_Tr,elm_Tw,elm_Velm,elm_qnl,elm_r,con_gen
HYGOV_gen_1012_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1012_1.ElmSym
HYGOV_gen_1013_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1013_1.ElmSym
HYGOV_gen_1014_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1014_1.ElmSym
HYGOV_gen_1022_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1022_1.ElmSym
HYGOV_gen_1030_4,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1030_4.ElmSym
HYGOV_gen_1031_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1031_1.ElmSym
HYGOV_gen_1038_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1038_1.ElmSym
HYGOV_gen_1039_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1039_2.ElmSym
HYGOV_gen_1040_3,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1040_3.ElmSym
HYGOV_gen_1041_4,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1041_4.ElmSym
HYGOV_gen_1042_5,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1042_5.ElmSym
HYGOV_gen_1043_6,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1043_6.ElmSym
HYGOV_gen_1059_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1059_1.ElmSym
HYGOV_gen_1060_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1060_2.ElmSym
HYGOV_gen_1067_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1067_1.ElmSym
HYGOV_gen_1068_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1068_2.ElmSym
HYGOV_gen_1074_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1074_2.ElmSym
HYGOV_gen_1075_3,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1075_3.ElmSym
