elm_loc_name,elm_PfFlag,elm_VFlag,elm_Tp,elm_Kqp,elm_Kqi,elm_QFlag,elm_Kvp,elm_Kvi,elm_Trv,elm_db1,elm_db2,elm_Kqv,elm_Vdip,elm_Vup,elm_Tiq,elm_Tpord,elm_PqFlag,elm_Imax,elm_Vref0,elm_Qmin,elm_Vmin,elm_Iql1,elm_Pmin,elm_dPmin,elm_Qmax,elm_Vmax,elm_Iqh1,elm_Pmax,elm_dPmax,con_gen
REEC_B_gen_1011_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_1011_1.ElmPvsys
REEC_B_gen_1023_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_1023_1.ElmPvsys
REEC_B_gen_1024_2,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_1024_2.ElmPvsys
REEC_B_gen_1025_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_1025_1.ElmPvsys
REEC_B_gen_1027_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_1027_1.ElmPvsys
REEC_B_gen_1066_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_1066_1.ElmPvsys
REEC_B_gen_1149,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_1149.ElmPvsys
REEC_B_gen_1173_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_1173_1.ElmPvsys
REEC_B_gen_1181_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_1181_1.ElmPvsys
REEC_B_gen_1582_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_1582_1.ElmPvsys
REEC_B_gen_2063_11,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_2063_11.ElmPvsys
REEC_B_gen_2064_12,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_2064_12.ElmPvsys
