elm_loc_name,elm_R,elm_Dt,elm_T1,elm_T2,elm_T3,elm_Vmax,elm_Vmin,con_gen
TGOV1_gen_1002_1,0.05,0,0.5,2.1,7,1,0,gen_1002_1.ElmSym
TGOV1_gen_1003_2,0.05,0,0.5,2.1,7,1,0,gen_1003_2.ElmSym
TGOV1_gen_1004_3,0.05,0,0.5,2.1,7,1,0,gen_1004_3.ElmSym
TGOV1_gen_1005_4,0.05,0,0.5,2.1,7,1,0,gen_1005_4.ElmSym
TGOV1_gen_1017_1,0.05,0,0.5,2.1,7,1,0,gen_1017_1.ElmSym
TGOV1_gen_1018_2,0.05,0,0.5,2.1,7,1,0,gen_1018_2.ElmSym
TGOV1_gen_1019_3,0.05,0,0.5,2.1,7,1,0,gen_1019_3.ElmSym
TGOV1_gen_1020_4,0.05,0,0.5,2.1,7,1,0,gen_1020_4.ElmSym
TGOV1_gen_1044_1,0.05,0,0.5,2.1,7,1,0,gen_1044_1.ElmSym
TGOV1_gen_1058_1,0.05,0,0.5,2.1,7,1,0,gen_1058_1.ElmSym
TGOV1_gen_1069_1,0.05,0,0.5,2.1,7,1,0,gen_1069_1.ElmSym
TGOV1_gen_1070_1,0.05,0,0.5,2.1,7,1,0,gen_1070_1.ElmSym
TGOV1_gen_1071_1,0.05,0,0.5,2.1,7,1,0,gen_1071_1.ElmSym
TGOV1_gen_1072_1,0.05,0,0.5,2.1,7,1,0,gen_1072_1.ElmSym
TGOV1_gen_1081_5,0.05,0,0.5,2.1,7,1,0,gen_1081_5.ElmSym
TGOV1_gen_1082_6,0.05,0,0.5,2.1,7,1,0,gen_1082_6.ElmSym
TGOV1_gen_1084_1,0.05,0,0.5,2.1,7,1,0,gen_1084_1.ElmSym
TGOV1_gen_1085_2,0.05,0,0.5,2.1,7,1,0,gen_1085_2.ElmSym
TGOV1_gen_2036_1,0.05,0,0.5,2.1,7,1,0,gen_2036_1.ElmSym
TGOV1_gen_2037_2,0.05,0,0.5,2.1,7,1,0,gen_2037_2.ElmSym
TGOV1_gen_2038_3,0.05,0,0.5,2.1,7,1,0,gen_2038_3.ElmSym
TGOV1_gen_2040_1,0.05,0,0.5,2.1,7,1,0,gen_2040_1.ElmSym
TGOV1_gen_2041_2,0.05,0,0.5,2.1,7,1,0,gen_2041_2.ElmSym
TGOV1_gen_2043_2,0.05,0,0.5,2.1,7,1,0,gen_2043_2.ElmSym
TGOV1_gen_2044_3,0.05,0,0.5,2.1,7,1,0,gen_2044_3.ElmSym
TGOV1_gen_2045_4,0.05,0,0.5,2.1,7,1,0,gen_2045_4.ElmSym
TGOV1_gen_2046_1,0.05,0,0.5,2.1,7,1,0,gen_2046_1.ElmSym
TGOV1_gen_2047_2,0.05,0,0.5,2.1,7,1,0,gen_2047_2.ElmSym
