elm_loc_name,elm_Ht,elm_Dshaft,elm_Kshaft,elm_Hg,con_gen
WTGT_A_wtg_T1_1,5.0,1.5,200.0,1.0,wtg_T1_1.ElmGenstat
WTGT_A_gen_4079_12,5.0,1.5,200.0,1.0,gen_4079_12.ElmGenstat
WTGT_A_gen_3524_1,5.0,1.5,200.0,1.0,gen_3524_1.ElmGenstat
WTGT_A_wtg_S9_1,5.0,1.5,200.0,1.0,wtg_S9_1.ElmGenstat
WTGT_A_wtg_S5_1,5.0,1.5,200.0,1.0,wtg_S5_1.ElmGenstat
WTGT_A_gen_4048_11,5.0,1.5,200.0,1.0,gen_4048_11.ElmGenstat
WTGT_A_gen_4101_1,5.0,1.5,200.0,1.0,gen_4101_1.ElmGenstat
WTGT_A_gen_4081_2,5.0,1.5,200.0,1.0,gen_4081_2.ElmGenstat
WTGT_A_gen_4084_1,5.0,1.5,200.0,1.0,gen_4084_1.ElmGenstat
WTGT_A_wtg_S7_1,5.0,1.5,200.0,1.0,wtg_S7_1.ElmGenstat
WTGT_A_wtg_N6_1,5.0,1.5,200.0,1.0,wtg_N6_1.ElmGenstat
WTGT_A_gen_1037_4,5.0,1.5,200.0,1.0,gen_1037_4.ElmGenstat
WTGT_A_wtg_N4_1,5.0,1.5,200.0,1.0,wtg_N4_1.ElmGenstat
WTGT_A_gen_4050_1,5.0,1.5,200.0,1.0,gen_4050_1.ElmGenstat
WTGT_A_gen_4085_11,5.0,1.5,200.0,1.0,gen_4085_11.ElmGenstat
WTGT_A_gen_4100_2,5.0,1.5,200.0,1.0,gen_4100_2.ElmGenstat
WTGT_A_gen_4153_21,5.0,1.5,200.0,1.0,gen_4153_21.ElmGenstat
WTGT_A_gen_4013_22,5.0,1.5,200.0,1.0,gen_4013_22.ElmGenstat
WTGT_A_wtg_N1_1,5.0,1.5,200.0,1.0,wtg_N1_1.ElmGenstat
WTGT_A_gen_4376_11,5.0,1.5,200.0,1.0,gen_4376_11.ElmGenstat
WTGT_A_gen_4023_1,5.0,1.5,200.0,1.0,gen_4023_1.ElmGenstat
WTGT_A_wtg_S8_1,5.0,1.5,200.0,1.0,wtg_S8_1.ElmGenstat
WTGT_A_wtg_V3_1,5.0,1.5,200.0,1.0,wtg_V3_1.ElmGenstat
WTGT_A_gen_4083_4,5.0,1.5,200.0,1.0,gen_4083_4.ElmGenstat
WTGT_A_wtg_T3_1,5.0,1.5,200.0,1.0,wtg_T3_1.ElmGenstat
WTGT_A_gen_2007_1,5.0,1.5,200.0,1.0,gen_2007_1.ElmGenstat
WTGT_A_gen_2076_1,5.0,1.5,200.0,1.0,gen_2076_1.ElmGenstat
WTGT_A_gen_4094_1,5.0,1.5,200.0,1.0,gen_4094_1.ElmGenstat
WTGT_A_wtg_Q7_1,5.0,1.5,200.0,1.0,wtg_Q7_1.ElmGenstat
WTGT_A_gen_3273_1,5.0,1.5,200.0,1.0,gen_3273_1.ElmGenstat
WTGT_A_gen_4047_1,5.0,1.5,200.0,1.0,gen_4047_1.ElmGenstat
WTGT_A_gen_4082_3,5.0,1.5,200.0,1.0,gen_4082_3.ElmGenstat
WTGT_A_gen_2246_1,5.0,1.5,200.0,1.0,gen_2246_1.ElmGenstat
WTGT_A_gen_4095_2,5.0,1.5,200.0,1.0,gen_4095_2.ElmGenstat
WTGT_A_wtg_S6_1,5.0,1.5,200.0,1.0,wtg_S6_1.ElmGenstat
WTGT_A_wtg_Q3_1,5.0,1.5,200.0,1.0,wtg_Q3_1.ElmGenstat
WTGT_A_wtg_N8_1,5.0,1.5,200.0,1.0,wtg_N8_1.ElmGenstat
WTGT_A_wtg_Q5_1,5.0,1.5,200.0,1.0,wtg_Q5_1.ElmGenstat
WTGT_A_wtg_N3_1,5.0,1.5,200.0,1.0,wtg_N3_1.ElmGenstat
WTGT_A_gen_1034_1,5.0,1.5,200.0,1.0,gen_1034_1.ElmGenstat
WTGT_A_gen_4031,5.0,1.5,200.0,1.0,gen_4031.ElmGenstat
WTGT_A_gen_4049_1,5.0,1.5,200.0,1.0,gen_4049_1.ElmGenstat
WTGT_A_gen_4037,5.0,1.5,200.0,1.0,gen_4037.ElmGenstat
WTGT_A_gen_4007_1,5.0,1.5,200.0,1.0,gen_4007_1.ElmGenstat
WTGT_A_gen_4373_11,5.0,1.5,200.0,1.0,gen_4373_11.ElmGenstat
WTGT_A_gen_2086_1,5.0,1.5,200.0,1.0,gen_2086_1.ElmGenstat
WTGT_A_wtg_S4_1,5.0,1.5,200.0,1.0,wtg_S4_1.ElmGenstat
WTGT_A_gen_2071_1,5.0,1.5,200.0,1.0,gen_2071_1.ElmGenstat
WTGT_A_wtg_Q1_1,5.0,1.5,200.0,1.0,wtg_Q1_1.ElmGenstat
WTGT_A_gen_2082_1,5.0,1.5,200.0,1.0,gen_2082_1.ElmGenstat
WTGT_A_wtg_V1_1,5.0,1.5,200.0,1.0,wtg_V1_1.ElmGenstat
WTGT_A_wtg_N5_1,5.0,1.5,200.0,1.0,wtg_N5_1.ElmGenstat
WTGT_A_gen_2090_1,5.0,1.5,200.0,1.0,gen_2090_1.ElmGenstat
WTGT_A_gen_4009_11,5.0,1.5,200.0,1.0,gen_4009_11.ElmGenstat
WTGT_A_wtg_V4_1,5.0,1.5,200.0,1.0,wtg_V4_1.ElmGenstat
WTGT_A_wtg_V6_1,5.0,1.5,200.0,1.0,wtg_V6_1.ElmGenstat
WTGT_A_gen_5005_2,5.0,1.5,200.0,1.0,gen_5005_2.ElmGenstat
WTGT_A_gen_4024_1,5.0,1.5,200.0,1.0,gen_4024_1.ElmGenstat
WTGT_A_gen_4372_12,5.0,1.5,200.0,1.0,gen_4372_12.ElmGenstat
WTGT_A_gen_2345_12,5.0,1.5,200.0,1.0,gen_2345_12.ElmGenstat
WTGT_A_gen_2039_1,5.0,1.5,200.0,1.0,gen_2039_1.ElmGenstat
WTGT_A_gen_2017_1,5.0,1.5,200.0,1.0,gen_2017_1.ElmGenstat
WTGT_A_gen_4008_1,5.0,1.5,200.0,1.0,gen_4008_1.ElmGenstat
WTGT_A_gen_2033_2,5.0,1.5,200.0,1.0,gen_2033_2.ElmGenstat
WTGT_A_gen_4003_1,5.0,1.5,200.0,1.0,gen_4003_1.ElmGenstat
