elm_loc_name,elm_desc,con_bus1,con_bus2,elm_outserv,elm_dline,typ_uline,typ_rline,typ_xline,typ_bline,msc_powermodels_index,grf_rCenterX,grf_rCenterY,grf_sSymNam,gco_1_rX,gco_1_rY,gco_2_rX,gco_2_rY
branch_1,"PowerModels index: 1
f_bus: bus_1027
t_bus: bus_1299
name: line_1027_to_1299_1_cp",bus_1027,bus_1299,0,1.0,132.0,3.727795952029234,8.61119689919684,73.46776914471761,1,29561.875,41319.6875,d_lin,"[29561.875, 29828.75, 29828.75]","[41319.6875, 41510.0, 41510.0]","[29561.875, 29295.0, 29295.0]","[41319.6875, 41129.375, 41129.375]"
branch_10,"PowerModels index: 10
f_bus: bus_1091
t_bus: bus_1132
name: line_1091_to_1132_1_cp",bus_1091,bus_1132,0,1.0,330.0,0.3431299474536854,3.4271652856274657,149.20018356543326,10,21420.0,32970.0,d_lin,"[21420.0, 21122.5, 21122.5]","[32970.0, 32370.625, 32370.625]","[21420.0, 21717.5, 21717.5]","[32970.0, 33569.375, 33569.375]"
branch_100,"PowerModels index: 100
f_bus: bus_1139
t_bus: bus_1247
name: line_1139_to_1247_1_cp",bus_1139,bus_1247,0,1.0,132.0,8.793308413287258,24.0628122474718,164.01851497330972,100,22542.1875,19635.0,d_lin,"[22542.1875, 22360.625, 22360.625]","[19635.0, 19600.0, 19600.0]","[22542.1875, 22723.75, 22723.75]","[19635.0, 19670.0, 19670.0]"
branch_1000,"PowerModels index: 1000
f_bus: bus_3598
t_bus: bus_3550
name: line_3598_to_3608_1_cp",bus_3598,bus_3550,0,1.0,275.0,0.8773388154411552,6.04916220146638,69.42539308032339,1000,14240.625,49522.8125,d_lin,"[14240.625, 14673.75, 14673.75]","[49522.8125, 48838.125, 48838.125]","[14240.625, 13807.5, 13807.5]","[49522.8125, 50207.5, 50207.5]"
branch_1001,"PowerModels index: 1001
f_bus: bus_3604
t_bus: bus_3550
name: line_3604_to_3608_1_cp",bus_3604,bus_3550,0,1.0,275.0,0.8633699482820473,5.626659812178173,37.27704542259543,1001,13415.9375,49938.4375,d_lin,"[13415.9375, 13068.125, 13068.125]","[49938.4375, 49669.375, 49669.375]","[13415.9375, 13763.75, 13763.75]","[49938.4375, 50207.5, 50207.5]"
branch_1002,"PowerModels index: 1002
f_bus: bus_3604
t_bus: bus_3611
name: line_3604_to_3611_1_cp",bus_3604,bus_3611,0,1.0,275.0,1.527358692744829,10.952802533069853,68.98038528256791,1002,13341.5625,50047.8125,d_lin,"[13341.5625, 13059.375, 13059.375]","[50047.8125, 49669.375, 49669.375]","[13341.5625, 13623.75, 13623.75]","[50047.8125, 50426.25, 50426.25]"
branch_1003,"PowerModels index: 1003
f_bus: bus_3605
t_bus: bus_3601
name: line_3605_to_3610_2_cp",bus_3605,bus_3601,0,1.0,275.0,0.3281845522312565,3.9324488129795316,52.958870341262376,1003,14511.875,42920.9375,d_lin,"[14511.875, 14494.375, 14494.375]","[42920.9375, 43605.625, 43605.625]","[14511.875, 14529.375, 14529.375]","[42920.9375, 42236.25, 42236.25]"
branch_1004,"PowerModels index: 1004
f_bus: bus_3607
t_bus: bus_3609
name: line_3607_to_3609_1_cp",bus_3607,bus_3609,0,1.0,275.0,0.34912539879253296,4.256360449265674,237.98053571525244,1004,19750.9375,45141.25,d_lin,"[19750.9375, 19464.375, 19464.375]","[45141.25, 45696.875, 45696.875]","[19750.9375, 20037.5, 20037.5]","[45141.25, 44585.625, 44585.625]"
branch_1006,"PowerModels index: 1006
f_bus: bus_3607
t_bus: bus_3615
name: line_3607_to_3615_1_cp",bus_3607,bus_3615,0,1.0,275.0,2.8066963116547403,22.79651722768269,272.13073067404946,1006,19985.0,46062.1875,d_lin,"[19985.0, 19455.625, 19455.625]","[46062.1875, 45696.875, 45696.875]","[19985.0, 20514.375, 20514.375]","[46062.1875, 46427.5, 46427.5]"
branch_1007,"PowerModels index: 1007
f_bus: bus_3607
t_bus: bus_3616
name: line_3607_to_3616_1_cp",bus_3607,bus_3616,0,1.0,275.0,0.5503005715077595,6.335297752800174,91.86855265708378,1007,19880.0,45885.0,d_lin,"[19880.0, 19473.125, 19473.125]","[45885.0, 45696.875, 45696.875]","[19880.0, 20286.875, 20286.875]","[45885.0, 46073.125, 46073.125]"
