elm_loc_name,con_bus1,elm_plini,elm_qlini,elm_outserv,msc_powermodels_index,elm_desc,grf_rCenterX,grf_rCenterY,grf_sSymNam,gco_rX,gco_rY
load_P_1002_1,bus_1002,27.214341009702498,22.9900319056034,0,1,PowerModels index: 1,21091.875,32746.875,d_load,"[21091.875, 21091.875]","[32746.875, 32764.375]"
load_P_1003_2,bus_1003,35.305539065715095,25.536955754316597,0,2,PowerModels index: 2,21175.0,32725.0,d_load,"[21175.0, 21175.0]","[32725.0, 32742.5]"
load_P_1004_3,bus_1004,36.3464705546116,25.4527938492952,0,3,PowerModels index: 3,20807.5,31661.875,d_load,"[20807.5, 20807.5]","[31661.875, 31679.375]"
load_P_1005_4,bus_1005,36.153696760668204,25.952019776483105,0,4,PowerModels index: 4,20698.125,31596.25,d_load,"[20698.125, 20698.125]","[31596.25, 31613.75]"
load_P_1015_1G,bus_1007,34.3079817598438,6.892727246839408,0,5,PowerModels index: 5,18926.25,15938.125,d_load,"[18926.25, 18926.25]","[15938.125, 15955.625]"
load_P_1016_1G,bus_1015,0.567323553623725,0.0,0,6,PowerModels index: 6,30056.25,39357.5,d_load,"[30056.25, 30056.25]","[39357.5, 39375.0]"
load_P_1017_1,bus_1016,0.0,0.0,1,7,PowerModels index: 7,30073.75,39138.75,d_load,"[30073.75, 30073.75]","[39138.75, 39156.25]"
load_P_1018_2,bus_1017,32.9123161610551,24.711783958261503,0,8,PowerModels index: 8,22190.0,32156.25,d_load,"[22190.0, 22190.0]","[32156.25, 32173.75]"
load_P_1019_3,bus_1018,32.7047949975725,24.864146277261202,0,9,PowerModels index: 9,22233.75,32055.625,d_load,"[22233.75, 22233.75]","[32055.625, 32073.125]"
load_P_1020_4,bus_1019,32.937722768523706,24.8430852986128,0,10,PowerModels index: 10,21813.75,30883.125,d_load,"[21813.75, 21813.75]","[30883.125, 30900.625]"
load_P_1021_1G,bus_1020,33.7906400303283,25.010466589327603,0,11,PowerModels index: 11,21796.25,30988.125,d_load,"[21796.25, 21796.25]","[30988.125, 31005.625]"
load_P_1022_1,bus_1021,0.0,0.0,1,12,PowerModels index: 12,29824.375,21840.0,d_load,"[29824.375, 29824.375]","[21840.0, 21857.5]"
load_P_1025_1,bus_1022,0.041755911774933284,0.0395732937566936,0,13,PowerModels index: 13,24193.75,25357.5,d_load,"[24193.75, 24193.75]","[25357.5, 25375.0]"
load_P_1030_4,bus_1025,0.0,-14.681676562177001,0,14,PowerModels index: 14,24858.75,24368.75,d_load,"[24858.75, 24858.75]","[24368.75, 24386.25]"
load_P_1032_1,bus_1030,0.07874156961217518,0.07739421614632008,0,15,PowerModels index: 15,23515.625,25392.5,d_load,"[23515.625, 23515.625]","[25392.5, 25410.0]"
load_P_1033_3G,bus_1032,176.73390301466,-4.11325372574511,0,16,PowerModels index: 16,23450.0,27855.625,d_load,"[23450.0, 23450.0]","[27855.625, 27873.125]"
load_P_1033_4G,bus_1033,0.0,0.0,1,17,PowerModels index: 17,21997.5,22513.75,d_load,"[21997.5, 21997.5]","[22513.75, 22531.25]"
load_P_1033_5G,bus_1034,18.341554469353003,10.3636909979163,0,18,PowerModels index: 18,23253.125,34286.875,d_load,"[23253.125, 23253.125]","[34286.875, 34304.375]"
load_P_1034_1,bus_1036,17.4121562782648,10.893810214865999,0,19,PowerModels index: 19,23310.0,34208.125,d_load,"[23310.0, 23310.0]","[34208.125, 34225.625]"
load_P_1036_3,bus_1037,18.582245540429103,10.5566776532596,0,20,PowerModels index: 20,23178.75,34422.5,d_load,"[23178.75, 23178.75]","[34422.5, 34440.0]"
load_P_1037_4,bus_1038,0.0943259037151933,0.08743726937780161,0,21,PowerModels index: 21,23773.75,22124.375,d_load,"[23773.75, 23773.75]","[22124.375, 22141.875]"
load_P_1038_1,bus_1039,0.0876203157609328,0.09076399877332152,0,22,PowerModels index: 22,23690.625,22080.625,d_load,"[23690.625, 23690.625]","[22080.625, 22098.125]"
load_P_1039_2,bus_1040,0.09111050326647241,0.0927051996761467,0,23,PowerModels index: 23,23817.5,22242.5,d_load,"[23817.5, 23817.5]","[22242.5, 22260.0]"
load_P_1040_3,bus_1041,0.0894937716460321,0.0930797259162646,0,24,PowerModels index: 24,23730.0,22273.125,d_load,"[23730.0, 23730.0]","[22273.125, 22290.625]"
load_P_1041_4,bus_1042,0.09191597477369938,0.0946137851933017,0,25,PowerModels index: 25,23524.375,22085.0,d_load,"[23524.375, 23524.375]","[22085.0, 22102.5]"
load_P_1042_5,bus_1043,0.0944379383103922,0.0882814010351896,0,26,PowerModels index: 26,23598.75,22146.25,d_load,"[23598.75, 23598.75]","[22146.25, 22163.75]"
load_P_1043_6,bus_1044,31.518040437391004,25.972870391560697,0,27,PowerModels index: 27,20212.5,29413.125,d_load,"[20212.5, 20212.5]","[29413.125, 29430.625]"
load_P_1044_1,bus_1048,0.0,0.0,1,28,PowerModels index: 28,21004.375,22688.75,d_load,"[21004.375, 21004.375]","[22688.75, 22706.25]"
load_P_1048_1G,bus_1049,1.02072695429423,0.733871934417821,0,29,PowerModels index: 29,20986.875,31836.875,d_load,"[20986.875, 20986.875]","[31836.875, 31854.375]"
load_P_1049_1,bus_1050,1.1200335927479,0.730782591217384,0,30,PowerModels index: 30,21253.75,31753.75,d_load,"[21253.75, 21253.75]","[31753.75, 31771.25]"
load_P_1050_2,bus_1051,0.968675146375224,0.592623299681395,0,31,PowerModels index: 31,21196.875,31535.0,d_load,"[21196.875, 21196.875]","[31535.0, 31552.5]"
load_P_1051_3,bus_1052,0.9397457393940071,0.5860383047368382,0,32,PowerModels index: 32,21179.375,31841.25,d_load,"[21179.375, 21179.375]","[31841.25, 31858.75]"
load_P_1052_4,bus_1053,0.0,0.0,1,33,PowerModels index: 33,22426.25,25147.5,d_load,"[22426.25, 22426.25]","[25147.5, 25165.0]"
load_P_1053_3G,bus_1054,0.0,0.0,1,34,PowerModels index: 34,19197.5,15688.75,d_load,"[19197.5, 19197.5]","[15688.75, 15706.25]"
load_P_1054_1G,bus_1055,0.0,0.0,1,35,PowerModels index: 35,18939.375,15741.25,d_load,"[18939.375, 18939.375]","[15741.25, 15758.75]"
load_P_1055_1G,bus_1056,37.3257623166889,4.58530336711928,0,36,PowerModels index: 36,22124.375,21306.25,d_load,"[22124.375, 22124.375]","[21306.25, 21323.75]"
load_P_1056_1,bus_1058,7.19655427563423,2.41647754932139,0,37,PowerModels index: 37,23065.0,25313.75,d_load,"[23065.0, 23065.0]","[25313.75, 25331.25]"
load_P_1058_1,bus_1062,0.0,0.0,1,38,PowerModels index: 38,20890.625,22723.75,d_load,"[20890.625, 20890.625]","[22723.75, 22741.25]"
load_P_1062_1G,bus_1074,0.0433923930488527,0.043749541898723696,0,39,PowerModels index: 39,24014.375,22570.625,d_load,"[24014.375, 24014.375]","[22570.625, 22588.125]"
load_P_1074_2,bus_1075,0.0448706568134017,0.0477275057820603,0,40,PowerModels index: 40,24171.875,22684.375,d_load,"[24171.875, 24171.875]","[22684.375, 22701.875]"
load_P_1075_3,bus_1078,0.0380112225227058,0.0406420744564384,0,41,PowerModels index: 41,24193.75,22776.25,d_load,"[24193.75, 24193.75]","[22776.25, 22793.75]"
load_P_1078_6,bus_1079,0.0387934326939285,0.038430588806048,0,42,PowerModels index: 42,24154.375,22496.25,d_load,"[24154.375, 24154.375]","[22496.25, 22513.75]"
load_P_1079_7,bus_1080,0.0380778377875686,0.0389150532997213,0,43,PowerModels index: 43,24084.375,22435.0,d_load,"[24084.375, 24084.375]","[22435.0, 22452.5]"
load_P_1080_8,bus_1081,26.3099001010022,14.9509423831273,0,44,PowerModels index: 44,21253.75,32440.625,d_load,"[21253.75, 21253.75]","[32440.625, 32458.125]"
load_P_1081_5,bus_1082,27.959039167828397,14.5822928520143,0,45,PowerModels index: 45,21350.0,32379.375,d_load,"[21350.0, 21350.0]","[32379.375, 32396.875]"
load_P_1082_6,bus_1083,17.944003521226342,9.016822778878133,0,46,PowerModels index: 46,22124.375,21861.875,d_load,"[22124.375, 22124.375]","[21861.875, 21879.375]"
load_P_1083_1,bus_1108,0.104516655383632,-1.7242746998481397,0,47,PowerModels index: 47,28411.25,22229.375,d_load,"[28411.25, 28411.25]","[22229.375, 22246.875]"
load_P_1083_1G,bus_1127,52.1446072876835,-10.4186994219702,0,48,PowerModels index: 48,19696.25,26687.5,d_load,"[19696.25, 19696.25]","[26687.5, 26705.0]"
load_P_1083_2,bus_1128,47.0702037674924,-7.42322407301534,0,49,PowerModels index: 49,19534.375,26814.375,d_load,"[19534.375, 19534.375]","[26814.375, 26831.875]"
load_P_1083_3,bus_1129,0.771102107275277,0.5350705203771591,0,50,PowerModels index: 50,21148.75,27693.75,d_load,"[21148.75, 21148.75]","[27693.75, 27711.25]"
load_P_1083_4,bus_1130,46.8132718256355,-6.03130423971033,0,51,PowerModels index: 51,21013.125,27549.375,d_load,"[21013.125, 21013.125]","[27549.375, 27566.875]"
load_P_1094_1,bus_1139,14.2949130828764,5.14730489338171,0,52,PowerModels index: 52,22360.625,19582.5,d_load,"[22360.625, 22360.625]","[19582.5, 19600.0]"
load_P_1094_2,bus_1146,969.0150037223428,274.39628427689956,0,53,PowerModels index: 53,22430.625,34378.75,d_load,"[22430.625, 22430.625]","[34378.75, 34396.25]"
load_P_1127_1,bus_1163,0.216529954653187,0.40220958956959696,0,54,PowerModels index: 54,23743.125,26853.75,d_load,"[23743.125, 23743.125]","[26853.75, 26871.25]"
load_P_1128_2,bus_1166,301.5311189719217,25.095294130560863,0,55,PowerModels index: 55,22483.125,26022.5,d_load,"[22483.125, 22483.125]","[26022.5, 26040.0]"
load_P_1129_4,bus_1168,17.99162321349137,-4.0153217847230875,0,56,PowerModels index: 56,21682.5,20081.25,d_load,"[21682.5, 21682.5]","[20081.25, 20098.75]"
load_P_1130_3,bus_1169,282.1231944544455,107.24584073862368,0,57,PowerModels index: 57,23340.625,26928.125,d_load,"[23340.625, 23340.625]","[26928.125, 26945.625]"
load_P_1139_1,bus_1178,139.75602702264578,20.44950474832593,0,58,PowerModels index: 58,20090.0,28945.0,d_load,"[20090.0, 20090.0]","[28945.0, 28962.5]"
load_P_1146_1,bus_1184,245.26663208138163,85.02624961588181,0,59,PowerModels index: 59,22028.125,30830.625,d_load,"[22028.125, 22028.125]","[30830.625, 30848.125]"
load_P_1146_1C,bus_1185,632.5183891335347,-25.520239119883648,0,60,PowerModels index: 60,18834.375,31513.125,d_load,"[18834.375, 18834.375]","[31513.125, 31530.625]"
load_P_1146_2,bus_1186,215.919671694818,81.55375378110216,0,61,PowerModels index: 61,20273.75,28975.625,d_load,"[20273.75, 20273.75]","[28975.625, 28993.125]"
load_P_1146_2C,bus_1189,78.4661207230591,3.5030830638563297,0,62,PowerModels index: 62,20986.875,27238.75,d_load,"[20986.875, 20986.875]","[27238.75, 27256.25]"
load_P_1146_3,bus_1190,66.05197622275733,13.340704959799485,0,63,PowerModels index: 63,20107.5,31128.125,d_load,"[20107.5, 20107.5]","[31128.125, 31145.625]"
load_P_1146_3C,bus_1191,24.109205815278102,6.27467704216484,0,64,PowerModels index: 64,19166.875,30887.5,d_load,"[19166.875, 19166.875]","[30887.5, 30905.0]"
load_P_1146_4,bus_1192,103.7758308898197,19.8401998823269,0,65,PowerModels index: 65,24920.0,36666.875,d_load,"[24920.0, 24920.0]","[36666.875, 36684.375]"
load_P_1146_4C,bus_1195,41.184766744947,17.5264675299108,0,66,PowerModels index: 66,19324.375,32519.375,d_load,"[19324.375, 19324.375]","[32519.375, 32536.875]"
load_P_1166_1,bus_1196,8.196319011532239,-0.7174650966227059,0,67,PowerModels index: 67,20343.75,32878.125,d_load,"[20343.75, 20343.75]","[32878.125, 32895.625]"
load_P_1166_2,bus_1198,158.3305676122174,30.76314024858066,0,68,PowerModels index: 68,20103.125,32112.5,d_load,"[20103.125, 20103.125]","[32112.5, 32130.0]"
load_P_1166_3,bus_1200,18.255845924162298,8.83805388663374,0,69,PowerModels index: 69,20120.625,28966.875,d_load,"[20120.625, 20120.625]","[28966.875, 28984.375]"
load_P_1166_4,bus_1201,80.430232870505,30.824093108362604,0,70,PowerModels index: 70,22413.125,34221.25,d_load,"[22413.125, 22413.125]","[34221.25, 34238.75]"
load_P_1168_1,bus_1203,68.94908565931951,30.18862330509154,0,71,PowerModels index: 71,21231.875,35507.5,d_load,"[21231.875, 21231.875]","[35507.5, 35525.0]"
load_P_1168_2,bus_1209,34.19279275183901,2.2713786386044688,0,72,PowerModels index: 72,28638.75,22299.375,d_load,"[28638.75, 28638.75]","[22299.375, 22316.875]"
load_P_1169_1,bus_1215,27.6265726334902,14.479561446035502,0,73,PowerModels index: 73,21638.75,27304.375,d_load,"[21638.75, 21638.75]","[27304.375, 27321.875]"
load_P_1169_2,bus_1217,17.0287468016645,1.3887771329371301,0,74,PowerModels index: 74,19696.25,16340.625,d_load,"[19696.25, 19696.25]","[16340.625, 16358.125]"
load_P_1169_4,bus_1219,63.495530594278094,16.168201305059952,0,76,PowerModels index: 76,23590.0,26503.75,d_load,"[23590.0, 23590.0]","[26503.75, 26521.25]"
load_P_1169_5,bus_1223,12.1669812024641,4.18680869391607,0,77,PowerModels index: 77,16695.0,27973.75,d_load,"[16695.0, 16695.0]","[27973.75, 27991.25]"
load_P_1169_6,bus_1224,7.503794180498131,1.24192596953921,0,78,PowerModels index: 78,20055.0,29890.0,d_load,"[20055.0, 20055.0]","[29890.0, 29907.5]"
load_P_1169_7,bus_1226,2.1835738987048168,0.02881484689265501,0,79,PowerModels index: 79,26013.75,36981.875,d_load,"[26013.75, 26013.75]","[36981.875, 36999.375]"
load_P_1169_8,bus_1228,82.0316256063125,22.365053668189617,0,80,PowerModels index: 80,16839.375,27951.875,d_load,"[16839.375, 16839.375]","[27951.875, 27969.375]"
load_P_1184_1,bus_1229,6.327268349225909,3.25207837965991,0,81,PowerModels index: 81,22268.75,20720.0,d_load,"[22268.75, 22268.75]","[20720.0, 20737.5]"
load_P_1184_2,bus_1230,15.1065737890452,6.2447493016626705,0,82,PowerModels index: 82,18878.125,30060.625,d_load,"[18878.125, 18878.125]","[30060.625, 30078.125]"
load_P_1184_3,bus_1232,19.67279429336503,5.267365830491629,0,83,PowerModels index: 83,22596.875,26853.75,d_load,"[22596.875, 22596.875]","[26853.75, 26871.25]"
load_P_1185_1,bus_1236,5.58004724041424,-6.81500044697765,0,84,PowerModels index: 84,20623.75,29806.875,d_load,"[20623.75, 20623.75]","[29806.875, 29824.375]"
load_P_1185_10,bus_1237,15.787991394305202,1.24274292333308,0,85,PowerModels index: 85,27028.75,23371.25,d_load,"[27028.75, 27028.75]","[23371.25, 23388.75]"
load_P_1185_11,bus_1240,97.1050388719274,-0.7245183648190019,0,86,PowerModels index: 86,19438.125,27304.375,d_load,"[19438.125, 19438.125]","[27304.375, 27321.875]"
load_P_1185_12,bus_1241,18.503651471826366,4.52118197428509,0,87,PowerModels index: 87,19770.625,33516.875,d_load,"[19770.625, 19770.625]","[33516.875, 33534.375]"
load_P_1185_2,bus_1243,17.788299871615905,9.62153780921083,0,88,PowerModels index: 88,20680.625,27580.0,d_load,"[20680.625, 20680.625]","[27580.0, 27597.5]"
load_P_1185_3,bus_1244,14.2534222819245,9.3896193828518,0,89,PowerModels index: 89,19915.0,27050.625,d_load,"[19915.0, 19915.0]","[27050.625, 27068.125]"
load_P_1185_4,bus_1246,16.3814459094408,9.99440215975335,0,90,PowerModels index: 90,19814.375,27129.375,d_load,"[19814.375, 19814.375]","[27129.375, 27146.875]"
load_P_1185_5,bus_1247,72.0668929625272,9.156617908975532,0,91,PowerModels index: 91,22732.5,19652.5,d_load,"[22732.5, 22732.5]","[19652.5, 19670.0]"
load_P_1185_6,bus_1249,47.8228401746794,8.40931931990571,0,92,PowerModels index: 92,22596.875,20160.0,d_load,"[22596.875, 22596.875]","[20160.0, 20177.5]"
load_P_1185_7,bus_1252,371.9520619000958,32.040756395817574,0,93,PowerModels index: 93,21634.375,29837.5,d_load,"[21634.375, 21634.375]","[29837.5, 29855.0]"
load_P_1185_8,bus_1254,25.261175761547268,1.98893132955381,0,94,PowerModels index: 94,20746.25,26635.0,d_load,"[20746.25, 20746.25]","[26635.0, 26652.5]"
load_P_1185_9,bus_1255,168.62437723047458,50.354558624401115,0,95,PowerModels index: 95,26438.125,23454.375,d_load,"[26438.125, 26438.125]","[23454.375, 23471.875]"
load_P_1186_1,bus_1256,3.5652287821649504,1.273702663153876,0,96,PowerModels index: 96,26180.0,37148.125,d_load,"[26180.0, 26180.0]","[37148.125, 37165.625]"
load_P_1186_2,bus_1257,21.493420448134984,-0.33719673562138586,0,97,PowerModels index: 97,21000.0,35100.625,d_load,"[21000.0, 21000.0]","[35100.625, 35118.125]"
load_P_1186_3,bus_1258,24.174062854835704,7.0653910795226205,0,98,PowerModels index: 98,18392.5,27221.25,d_load,"[18392.5, 18392.5]","[27221.25, 27238.75]"
load_P_1186_4,bus_1259,29.176687909570802,9.886487036965278,0,99,PowerModels index: 99,17084.375,26971.875,d_load,"[17084.375, 17084.375]","[26971.875, 26989.375]"
load_P_1186_5,bus_1260,430.36496573833654,53.94334374504909,0,100,PowerModels index: 100,19372.5,32322.5,d_load,"[19372.5, 19372.5]","[32322.5, 32340.0]"
load_P_1189_1,bus_1261,50.3033259281897,9.9147898162847,0,101,PowerModels index: 101,19210.625,32834.375,d_load,"[19210.625, 19210.625]","[32834.375, 32851.875]"
