elm_loc_name,con_bus,elm_usetp,elm_outserv,con_gens
stactrl_bus_1011,bus_1011,1.0604999999995164,0,"gen_1011_1.ElmPvsys, conv_1011_N2_2.ElmSym, conv_1011_N2_1.ElmSym"
stactrl_bus_1097,bus_1097,1.0476213533300094,0,"conv_1097_N4_1.ElmSym, conv_1097_N4_2.ElmSym"
stactrl_bus_1132,bus_1132,1.010927308377204,0,"pv_N3_1.ElmPvsys, wtg_N3_1.ElmGenstat"
stactrl_bus_1206,bus_1206,1.0399560701958817,0,"wtg_N6_1.ElmGenstat, pv_N6_1.ElmPvsys, pv_N5_1.ElmPvsys, wtg_N5_1.ElmGenstat, wtg_N7_1.ElmGenstat, pv_N7_1.ElmPvsys"
stactrl_bus_1238,bus_1238,1.012614550917709,0,"pv_N8_1.ElmPvsys, wtg_N8_1.ElmGenstat"
stactrl_bus_2106,bus_2106,1.0364941520231346,0,"wtg_V2_1.ElmGenstat, pv_V2_1.ElmPvsys"
stactrl_bus_2125,bus_2125,1.037898864250145,0,"wtg_V6_1.ElmGenstat, pv_V6_1.ElmPvsys"
stactrl_bus_2200,bus_2200,1.0312955996739888,0,"wtg_V3_1.ElmGenstat, pv_V3_1.ElmPvsys, wtg_V4_1.ElmGenstat, pv_V4_1.ElmPvsys"
stactrl_bus_2202,bus_2202,1.0360913314288451,0,"pv_V5_1.ElmPvsys, wtg_V5_1.ElmGenstat, conv_BASSLINK_VIC.ElmSym"
stactrl_bus_2206,bus_2206,1.0426310460289758,0,"conv_MARINUS_VIC_1.ElmGenstat, conv_MARINUS_VIC_2.ElmSym"
stactrl_bus_3225,bus_3225,1.0111342091242483,0,"pv_Q2_1.ElmPvsys, wtg_Q2_1.ElmGenstat"
stactrl_bus_3332,bus_3332,1.0085726181355212,0,"pv_Q1_1.ElmPvsys, wtg_Q1_1.ElmGenstat"
stactrl_bus_3432,bus_3432,1.0286920201106267,0,"wtg_Q5_1.ElmGenstat, pv_Q5_1.ElmPvsys"
stactrl_bus_3561,bus_3561,1.0395799062155262,0,"wtg_Q3_1.ElmGenstat, pv_Q3_1.ElmPvsys, gen_3562_1.ElmPvsys"
stactrl_bus_3591,bus_3591,1.0536492981037135,0,"pv_Q4_1.ElmPvsys, gen_3592_1.ElmPvsys, wtg_Q4_1.ElmGenstat"
stactrl_bus_4094,bus_4094,1.0310000000009543,0,"gen_4094_1.ElmGenstat, gen_4095_2.ElmGenstat"
stactrl_bus_4101,bus_4101,1.051740000000749,0,"gen_4101_1.ElmGenstat, gen_4100_2.ElmGenstat, wtg_S1_1.ElmGenstat, pv_S1_1.ElmPvsys"
stactrl_bus_4107,bus_4107,1.0307728244421488,0,"pv_S3_1.ElmPvsys, wtg_S3_1.ElmGenstat"
stactrl_bus_4109,bus_4109,1.0497557112770244,0,"wtg_S5_1.ElmGenstat, pv_S5_1.ElmPvsys"
stactrl_bus_4182,bus_4182,1.047830382464256,0,"wtg_S6_1.ElmGenstat, pv_S6_1.ElmPvsys"
stactrl_bus_5155,bus_5155,1.0492486487961408,0,"conv_MARINUS_TAS_2.ElmSym, conv_MARINUS_TAS_1.ElmSym"
stactrl_bus_N1,bus_N1,1.0,0,"wtg_N1_1.ElmGenstat, pv_N1_1.ElmPvsys"
stactrl_bus_N2,bus_N2,1.0,0,"pv_N2_1.ElmPvsys, wtg_N2_1.ElmGenstat, conv_N2_1011_2.ElmSym, conv_N2_1011_1.ElmSym"
stactrl_bus_N4,bus_N4,1.0,0,"pv_N4_1.ElmPvsys, wtg_N4_1.ElmGenstat, conv_N4_1097_1.ElmGenstat, conv_N4_1097_2.ElmGenstat"
stactrl_bus_Q6,bus_Q6,1.0,0,"pv_Q6_1.ElmPvsys, wtg_Q6_1.ElmGenstat, conv_Q6_3550.ElmSym"
stactrl_bus_Q7,bus_Q7,1.0,0,"wtg_Q7_1.ElmGenstat, pv_Q7_1.ElmPvsys"
stactrl_bus_Q8,bus_Q8,1.0,0,"pv_Q8_1.ElmPvsys, wtg_Q8_1.ElmGenstat"
stactrl_bus_Q9,bus_Q9,1.0,0,"pv_Q9_1.ElmPvsys, wtg_Q9_1.ElmGenstat"
stactrl_bus_S2,bus_S2,1.0,0,"pv_S2_1.ElmPvsys, wtg_S2_1.ElmGenstat"
stactrl_bus_S4,bus_S4,1.0,0,"pv_S4_1.ElmPvsys, wtg_S4_1.ElmGenstat"
stactrl_bus_S7,bus_S7,1.0,0,"wtg_S7_1.ElmGenstat, pv_S7_1.ElmPvsys"
stactrl_bus_S8,bus_S8,1.0,0,"wtg_S8_1.ElmGenstat, pv_S8_1.ElmPvsys"
stactrl_bus_S9,bus_S9,1.0,0,"wtg_S9_1.ElmGenstat, pv_S9_1.ElmPvsys"
stactrl_bus_T1,bus_T1,1.0,0,"wtg_T1_1.ElmGenstat, pv_T1_1.ElmPvsys"
stactrl_bus_T2,bus_T2,1.0,0,"pv_T2_1.ElmPvsys, wtg_T2_1.ElmGenstat"
stactrl_bus_T3,bus_T3,1.0,0,"pv_T3_1.ElmPvsys, wtg_T3_1.ElmGenstat"
stactrl_bus_V1,bus_V1,1.0,0,"wtg_V1_1.ElmGenstat, pv_V1_1.ElmPvsys"
