elm_loc_name,elm_uknom,elm_cpArea,msc_powermodels_index,res_u_pu,res_phi_rad,elm_desc,grf_rCenterX,grf_rCenterY,grf_rSizeX,grf_sSymNam
bus_1002,23.0,NSW,3,1.0155600000008822,-2.5116047868858574e-12,PowerModels index: 3,21087.5,32764.375,1.3333333333333333,TermStrip
bus_1003,23.0,NSW,4,1.0262600000008077,0.02772985055383392,PowerModels index: 4,21161.875,32742.5,1.3333333333333333,TermStrip
bus_1004,23.0,NSW,5,0.9990000000006636,0.08561521045824684,PowerModels index: 5,20803.125,31679.375,1.3333333333333333,TermStrip
bus_1005,23.0,NSW,6,1.0025100000006752,0.08082516770752143,PowerModels index: 6,20693.75,31613.75,1.3333333333333333,TermStrip
bus_1006,11.0,NSW,7,1.0207790301336637,0.01385245728097992,PowerModels index: 7,21131.25,33005.0,1.0,TermStrip
bus_1007,22.0,NSW,8,1.029636867007994,0.36597196050129044,PowerModels index: 8,18935.0,15955.625,1.6666666666666667,TermStrip
bus_1011,330.0,NSW,12,1.0604999999995164,0.2605495314966033,PowerModels index: 12,24320.625,38780.0,1.6666666666666667,TermStrip
bus_1012,0.6899999999999998,NSW,13,1.0154599999998417,0.16434763905220712,PowerModels index: 13,19228.125,23961.875,0.6666666666666666,TermStrip
bus_1013,0.6899999999999998,NSW,14,1.0172899999998444,0.1632469722545367,PowerModels index: 14,19337.5,23913.75,0.6666666666666666,TermStrip
bus_1014,0.6899999999999998,NSW,15,1.0125999999998783,0.14615285318814447,PowerModels index: 15,19311.25,23830.625,0.6666666666666666,TermStrip
bus_1015,0.6899999999999998,NSW,16,1.0018381174899345,0.17944675238175473,PowerModels index: 16,30056.25,39375.0,1.6666666666666667,TermStrip
bus_1016,0.6899999999999998,NSW,17,1.0015320800829315,0.18032872423316856,PowerModels index: 17,30073.75,39156.25,1.6666666666666667,TermStrip
bus_1017,23.0,NSW,18,1.0112200000000926,0.2166032395233266,PowerModels index: 18,22176.875,32173.75,1.3333333333333333,TermStrip
bus_1018,23.0,NSW,19,1.0183700000000653,0.22784449843069635,PowerModels index: 19,22220.625,32073.125,1.3333333333333333,TermStrip
bus_1019,23.0,NSW,20,1.0233200000000091,0.2381056460734176,PowerModels index: 20,21800.625,30900.625,1.3333333333333333,TermStrip
bus_1020,23.0,NSW,21,1.0157699999999812,0.24980184759005822,PowerModels index: 21,21783.125,31005.625,1.3333333333333333,TermStrip
bus_1021,33.0,NSW,22,0.9985824609075477,0.3042773557004815,PowerModels index: 22,29824.375,21857.5,1.0,TermStrip
bus_1022,16.0,NSW,23,1.026690000000016,0.08978181604654498,PowerModels index: 23,24189.375,25375.0,1.3333333333333333,TermStrip
bus_1023,0.6899999999999998,NSW,24,1.0771299999990986,0.19230565761664814,PowerModels index: 24,25060.0,24535.0,0.6666666666666666,TermStrip
bus_1024,0.6899999999999998,NSW,25,1.0770499999990981,0.19221147781826733,PowerModels index: 25,25060.0,24648.75,1.0,TermStrip
bus_1025,0.6899999999999998,NSW,26,1.0875899999991359,0.17343774811826163,PowerModels index: 26,24850.0,24386.25,1.0,TermStrip
bus_1026,132.0,NSW,27,1.0485275537482068,0.1550252020553975,PowerModels index: 27,26320.0,39681.25,1.0,TermStrip
bus_1027,132.0,NSW,28,1.0244899999992303,0.18680962498091602,PowerModels index: 28,29833.125,41510.0,1.3333333333333333,TermStrip
bus_1030,16.0,NSW,30,1.0191300000000325,0.08214171837752474,PowerModels index: 30,23506.875,25410.0,1.0,TermStrip
bus_1031,11.0,NSW,31,0.9528199999982646,0.4340348471151027,PowerModels index: 31,22513.75,21651.875,0.6666666666666666,TermStrip
bus_1032,33.0,NSW,32,1.0566003811438103,-0.40391127982534686,PowerModels index: 32,23450.0,27873.125,1.0,TermStrip
bus_1033,11.0,NSW,33,0.9282436337437064,0.2596191395054379,PowerModels index: 33,21997.5,22531.25,1.0,TermStrip
bus_1034,22.0,NSW,34,0.9734900000000558,0.22915837696542213,PowerModels index: 34,23240.0,34304.375,1.3333333333333333,TermStrip
bus_1036,22.0,NSW,35,0.9320500000000145,0.24661970040574283,PowerModels index: 35,23296.875,34225.625,1.3333333333333333,TermStrip
bus_1037,22.0,NSW,36,0.9755800000000123,0.2477677268760929,PowerModels index: 36,23165.625,34440.0,1.3333333333333333,TermStrip
bus_1038,15.4,NSW,37,0.9789699999983338,0.5136960201068004,PowerModels index: 37,23765.0,22141.875,1.0,TermStrip
bus_1039,15.4,NSW,38,0.9780499999983339,0.5072002108631838,PowerModels index: 38,23681.875,22098.125,1.0,TermStrip
bus_1040,15.4,NSW,39,0.9840699999983344,0.5143280886297603,PowerModels index: 39,23808.75,22260.0,1.0,TermStrip
bus_1041,15.4,NSW,40,0.9818599999983345,0.5180541957909968,PowerModels index: 40,23721.25,22290.625,1.0,TermStrip
bus_1042,15.4,NSW,41,0.9837699999983311,0.515085954020619,PowerModels index: 41,23515.625,22102.5,1.0,TermStrip
bus_1043,15.4,NSW,42,0.9855599999983311,0.5128262872972581,PowerModels index: 42,23590.0,22163.75,1.0,TermStrip
bus_1044,23.0,NSW,43,0.9989400000003716,0.10089761737137934,PowerModels index: 43,20208.125,29430.625,1.3333333333333333,TermStrip
bus_1048,22.0,NSW,46,1.0024784261968391,0.23592812175624492,PowerModels index: 46,21004.375,22706.25,1.0,TermStrip
bus_1049,15.0,NSW,47,1.0243680589513333,-0.11275467544161688,PowerModels index: 47,20978.125,31854.375,1.0,TermStrip
bus_1050,15.0,NSW,48,1.02435291825526,-0.1128347377205962,PowerModels index: 48,21245.0,31771.25,1.0,TermStrip
bus_1051,15.0,NSW,49,1.0244362425658606,-0.11275315290428978,PowerModels index: 49,21192.5,31552.5,0.6666666666666666,TermStrip
bus_1052,15.0,NSW,50,1.0244466402973187,-0.1127270748608696,PowerModels index: 50,21170.625,31858.75,1.0,TermStrip
bus_1053,0.55,NSW,51,1.0412859377372061,0.12167252632212298,PowerModels index: 51,22421.875,25165.0,0.6666666666666666,TermStrip
