elm_loc_name,elm_desc,con_buslv,con_bushv,elm_outserv,elm_nntap,typ_strn,typ_utrn_l,typ_utrn_h,typ_r1pu,typ_x1pu,typ_dutap,typ_tap_side,typ_ntpmn,typ_ntpmx,msc_powermodels_index,grf_rCenterX,grf_rCenterY,grf_sSymNam,gco_1_rX,gco_1_rY,gco_2_rX,gco_2_rY
branch_1015,"PowerModels index: 1015
f_bus: bus_3617
t_bus: bus_3539
name: line_3617_to_3620_1_cp_merged_with_xf_3620_to_3539_2_2winding_transformer",bus_3539,bus_3617,0,0,100,132.0,275.0,0.001380210484796882,0.033440843845347686,1.0e-7,0,0,0,1015,23156.875,48173.125,d_lin,"[23156.875, 23607.5, 23607.5]","[48173.125, 48479.375, 48479.375]","[23156.875, 22706.25, 22706.25]","[48173.125, 47866.875, 47866.875]"
branch_1020,"PowerModels index: 1020
f_bus: bus_3652
t_bus: bus_3656
name: line_3652_to_3654_2_cp_merged_with_xf_3654_to_3656_2_2winding_transformer",bus_3656,bus_3652,0,0,100,19.0,330.0,0.00034579279226178963,0.02152400483083532,1.0e-7,0,-999999999,999999999,1020,19221.5625,41820.625,d_lin,"[19221.5625, 19635.0, 19635.0]","[41820.625, 41877.5, 41877.5]","[19221.5625, 18808.125, 18808.125]","[41820.625, 41763.75, 41763.75]"
branch_1066,"PowerModels index: 1066
f_bus: bus_4160
t_bus: bus_4347
name: line_4160_to_4161_1_cp_merged_with_xf_4161_to_4347_1_2winding_transformer",bus_4347,bus_4160,0,0,100,33.0,132.0,0.040759437473982855,0.2652376685884598,1.0e-7,0,0,0,1066,1338.75,21376.25,d_lin,"[1338.75, 1019.375, 1019.375]","[21376.25, 21126.875, 21126.875]","[1338.75, 1658.125, 1658.125]","[21376.25, 21625.625, 21625.625]"
branch_1077,"PowerModels index: 1077
f_bus: bus_4171
t_bus: bus_4366
name: line_4171_to_4173_1_cp_merged_with_xf_4173_to_4366_1_2winding_transformer",bus_4366,bus_4171,0,0,100,33.0,132.0,0.014830133824142572,0.2932817599448004,1.0e-7,0,0,0,1077,5936.875,23474.0625,d_lin,"[5936.875, 5678.75, 5678.75]","[23474.0625, 23660.0, 23660.0]","[5936.875, 6195.0, 6195.0]","[23474.0625, 23288.125, 23288.125]"
branch_113,"PowerModels index: 113
f_bus: bus_1334
t_bus: bus_1159
name: line_1160_to_1334_1_cp_merged_with_xf_1159_to_1160_5_2winding_transformer",bus_1334,bus_1159,0,0,100,132.0,132.0,0.12212704062114056,0.38703269725507605,1.0e-7,1,-999999999,999999999,113,26107.8125,38613.75,d_lin,"[26107.8125, 26429.375, 26429.375]","[38613.75, 38368.75, 38368.75]","[26107.8125, 25786.25, 25786.25]","[38613.75, 38858.75, 38858.75]"
branch_1167,"PowerModels index: 1167
f_bus: bus_4267
t_bus: bus_4443
name: line_4267_to_4269_1_cp_merged_with_xf_4269_to_4443_1_2winding_transformer",bus_4443,bus_4267,0,0,100,11.0,66.0,0.04464737566068685,1.015171725437736,1.0e-7,0,0,0,1167,7947.1875,14242.8125,d_lin,"[7947.1875, 7647.5, 7647.5]","[14242.8125, 13820.625, 13820.625]","[7947.1875, 8246.875, 8246.875]","[14242.8125, 14665.0, 14665.0]"
branch_1171,"PowerModels index: 1171
f_bus: bus_4276
t_bus: bus_4454
name: line_4276_to_4283_1_cp_merged_with_xf_4283_to_4454_1_2winding_transformer",bus_4454,bus_4276,0,0,100,11.0,66.0,0.01790216482707471,0.487151128034006,1.0e-7,0,0,0,1171,8529.0625,17784.375,d_lin,"[8529.0625, 8347.5, 8347.5]","[17784.375, 17535.0, 17535.0]","[8529.0625, 8710.625, 8710.625]","[17784.375, 18033.75, 18033.75]"
branch_1204,"PowerModels index: 1204
f_bus: bus_4261
t_bus: bus_4147
name: line_4316_to_4333_1_cp_merged_with_xf_4147_to_4333_2_2winding_transformer",bus_4261,bus_4147,0,0,100,66.0,275.0,0.0012307238993708664,0.07546785382996916,1.0e-7,1,0,0,1204,10723.125,16233.4375,d_lin,"[10723.125, 11007.5, 11007.5]","[16233.4375, 14840.0, 14840.0]","[10723.125, 10438.75, 10438.75]","[16233.4375, 17626.875, 17626.875]"
branch_1252,"PowerModels index: 1252
f_bus: bus_5077
t_bus: bus_5019
name: line_5076_to_5077_1_cp_merged_with_xf_5076_to_5019_1_2winding_transformer",bus_5019,bus_5077,0,0,100,11.0,110.0,0.050705952685127474,0.6867452991275059,1.0e-7,0,0,0,1252,24237.5,1594.6875,d_lin,"[24237.5, 24473.75, 24473.75]","[1594.6875, 1360.625, 1360.625]","[24237.5, 24001.25, 24001.25]","[1594.6875, 1828.75, 1828.75]"
branch_1282,"PowerModels index: 1282
f_bus: bus_5100
t_bus: bus_5213
name: line_5100_to_5110_1_cp_merged_with_xf_5110_to_5213_2_2winding_transformer",bus_5213,bus_5100,0,0,100,22.0,110.0,0.040314665182303616,0.6623830614989182,1.0e-7,0,0,0,1282,23071.5625,2305.625,d_lin,"[23071.5625, 22876.875, 22876.875]","[2305.625, 2183.125, 2183.125]","[23071.5625, 23266.25, 23266.25]","[2305.625, 2428.125, 2428.125]"
branch_1312,"PowerModels index: 1312
f_bus: bus_5149
t_bus: bus_5229
name: line_5145_to_5149_2_cp_merged_with_xf_5145_to_5229_1_2winding_transformer",bus_5229,bus_5149,0,0,100,11.0,220.0,0.013345510709732382,0.20068051442716756,1.0e-7,0,0,0,1312,22763.125,5022.5,d_lin,"[22763.125, 22680.0, 22680.0]","[5022.5, 4860.625, 4860.625]","[22763.125, 22846.25, 22846.25]","[5022.5, 5184.375, 5184.375]"
branch_1314,"PowerModels index: 1314
f_bus: bus_5149
t_bus: bus_5061
name: line_5148_to_5149_1_cp_merged_with_xf_5148_to_5061_1_2winding_transformer",bus_5061,bus_5149,0,0,100,110.0,220.0,0.011606877635737787,0.14077961302898126,1.0e-7,0,0,0,1314,23806.5625,5059.6875,d_lin,"[23806.5625, 24723.125, 24723.125]","[5059.6875, 4935.0, 4935.0]","[23806.5625, 22890.0, 22890.0]","[5059.6875, 5184.375, 5184.375]"
branch_1329,"PowerModels index: 1329
f_bus: bus_5169
t_bus: bus_5039
name: line_5164_to_5169_4_cp_merged_with_xf_5164_to_5039_3_2winding_transformer",bus_5039,bus_5169,0,0,100,16.0,220.0,0.005349792141510688,0.18297758712940976,1.0e-7,0,0,0,1329,22071.875,4364.0625,d_lin,"[22071.875, 21770.0, 21770.0]","[4364.0625, 4239.375, 4239.375]","[22071.875, 22373.75, 22373.75]","[4364.0625, 4488.75, 4488.75]"
branch_1330,"PowerModels index: 1330
f_bus: bus_5169
t_bus: bus_5041
name: line_5166_to_5169_2_cp_merged_with_xf_5166_to_5041_5_2winding_transformer",bus_5041,bus_5169,0,0,100,16.0,220.0,0.005529170436296137,0.18471523476496238,1.0e-7,0,0,0,1330,22161.5625,4361.875,d_lin,"[22161.5625, 21940.625, 21940.625]","[4361.875, 4235.0, 4235.0]","[22161.5625, 22382.5, 22382.5]","[4361.875, 4488.75, 4488.75]"
branch_1339,"PowerModels index: 1339
f_bus: bus_1234
t_bus: bus_1647
name: line_1234_to_1493_1_pi_merged_with_xf_1493_to_1647_2_2winding_transformer",bus_1647,bus_1234,0,0,100,11.0,132.0,5.778934160128803e-5,0.6701101689838111,1.0e-7,0,0,0,1339,17504.375,31145.625,d_lin,"[17504.375, 17062.5, 17062.5]","[31145.625, 31342.5, 31342.5]","[17504.375, 17946.25, 17946.25]","[31145.625, 30948.75, 30948.75]"
branch_1340,"PowerModels index: 1340
f_bus: bus_1269
t_bus: bus_1032
name: line_1268_to_1272_4_pi_merged_with_xf_1268_to_1032_4_2winding_transformer",bus_1032,bus_1269,0,0,100,33.0,132.0,0.000899712603612443,0.04542156754987149,1.0e-7,0,0,0,1340,23454.375,27822.8125,d_lin,"[23454.375, 23458.75, 23458.75]","[27822.8125, 27873.125, 27873.125]","[23454.375, 23450.0, 23450.0]","[27822.8125, 27772.5, 27772.5]"
