name,x,y
bus_1002,4810.0,7479.0
bus_1003,4827.0,7474.0
bus_1004,4745.0,7231.0
bus_1005,4720.0,7216.0
bus_1006,4820.0,7534.0
bus_1007,4318.0,3637.0
bus_1011,5549.0,8854.0
bus_1012,4385.0,5467.0
bus_1013,4410.0,5456.0
bus_1014,4404.0,5437.0
bus_1015,6860.0,8990.0
bus_1016,6864.0,8940.0
bus_1017,5059.0,7344.0
bus_1018,5069.0,7321.0
bus_1019,4973.0,7053.0
bus_1020,4969.0,7077.0
bus_1021,6807.0,4986.0
bus_1022,5519.0,5790.0
bus_1023,5718.0,5598.0
bus_1024,5718.0,5624.0
bus_1025,5670.0,5564.0
bus_1026,6006.0,9060.0
bus_1027,6809.0,9478.0
bus_1030,5363.0,5798.0
bus_1031,5136.0,4939.0
bus_1032,5350.0,6361.0
bus_1033,5018.0,5140.0
bus_1034,5302.0,7831.0
bus_1036,5315.0,7813.0
bus_1037,5285.0,7862.0
bus_1038,5422.0,5051.0
bus_1039,5403.0,5041.0
bus_1040,5432.0,5078.0
bus_1041,5412.0,5085.0
bus_1042,5365.0,5042.0
bus_1043,5382.0,5056.0
bus_1044,4609.0,6717.0
bus_1048,4791.0,5180.0
bus_1049,4785.0,7271.0
bus_1050,4846.0,7252.0
bus_1051,4834.0,7202.0
bus_1052,4829.0,7272.0
bus_1053,5115.0,5742.0
bus_1054,4378.0,3580.0
bus_1055,4319.0,3592.0
bus_1056,5047.0,4864.0
bus_1058,5260.0,5780.0
bus_1059,6271.0,4841.0
bus_1060,6269.0,4809.0
bus_1061,5028.0,5047.0
bus_1062,4765.0,5188.0
bus_1066,4737.0,6992.0
bus_1067,5819.0,4292.0
bus_1068,5246.0,4283.0
bus_1069,4852.0,4656.0
bus_1070,4906.0,4637.0
bus_1071,4853.0,4683.0
bus_1072,4876.0,4643.0
bus_1074,5477.0,5153.0
bus_1075,5513.0,5179.0
bus_1078,5517.0,5200.0
bus_1079,5509.0,5136.0
bus_1080,5493.0,5122.0
bus_1081,4845.0,7409.0
bus_1082,4867.0,7395.0
bus_1083,5047.0,4991.0
bus_1084,3362.0,7160.0
bus_1085,3347.0,7122.0
bus_1090,4772.0,7177.0
bus_1091,4817.0,7389.0
bus_1092,4761.0,6927.0
bus_1093,4761.0,6715.0
bus_1096,4890.0,6202.0
bus_1097,4847.0,6563.0
bus_1098,4876.0,6375.0
bus_1099,4883.0,7038.0
bus_1100,4968.0,7289.0
bus_1102,5462.0,5618.0
bus_1103,5504.0,5360.0
bus_1104,5806.0,8905.0
bus_1105,5043.0,6100.0
bus_1106,5021.0,4541.0
bus_1107,4106.0,6670.0
bus_1108,6484.0,5075.0
bus_1109,5121.0,9107.0
bus_1110,5194.0,6257.0
bus_1111,4286.0,6884.0
bus_1112,4853.0,6519.0
bus_1113,5321.0,4606.0
bus_1114,5290.0,5854.0
bus_1115,5219.0,7798.0
bus_1116,6042.0,9021.0
bus_1117,4822.0,6697.0
bus_1118,5358.0,5113.0
bus_1119,4970.0,5955.0
bus_1120,4750.0,6477.0
bus_1121,4773.0,6782.0
bus_1123,4612.0,6663.0
bus_1124,4755.0,7205.0
bus_1125,5036.0,5932.0
bus_1126,5393.0,8029.0
bus_1127,4491.0,6094.0
bus_1128,4454.0,6123.0
bus_1129,4822.0,6324.0
bus_1130,4792.0,6291.0
bus_1132,4955.0,7663.0
bus_1133,4882.0,7090.0
bus_1134,4464.0,7086.0
bus_1136,6185.0,4853.0
bus_1137,6658.0,4872.0
bus_1138,4655.0,6985.0
bus_1139,5100.0,4470.0
bus_1140,4886.0,6429.0
bus_1142,5407.0,9061.0
bus_1145,5421.0,8267.0
