"Component ","Description ","Nominal voltage ","Load Flow Voltage","Load Flow Angle","Load Flow Active Power","Load Flow Reactive Power"
"Bus","Description","baseVolt","LF_Voltage","LF_Angle","LF_Pbus","LF_Qbus"
,,(V),(V),(Deg),(W),(var)
bus_1000,0.0,550.00,581.2562928836872000,-8.977279952476998,0,0
bus_1001,0.0,550.00,581.2678355726504000,-8.977575858894927,0,0
bus_1002,0.0,23000,23357.88000002029000,-1.439043540934142e-010,404130384.6411084,-47506542.2285814
bus_1003,0.0,23000,23603.98000001858000,1.588803403263192,589101839.2802948,29402617.64236329
bus_1004,0.0,23000,22977.00000001526000,4.90539022138185,614054989.6763714,-8434478.066752582
bus_1005,0.0,23000,23057.73000001553000,4.630940988078049,595600210.9127719,5989178.641379278
bus_1006,0.0,11000,11228.5693314703000,0.7936873380854174,0,0
bus_1007,0.0,22000,22652.01107417587000,20.96864875685241,0,0
bus_1008,0.0,22000,22652.01107417587000,20.96864875685241,0,0
bus_1009,0.0,11000,11325.99954406656000,20.96862041943449,0,0
bus_1010,0.0,11000,11325.99924488433000,20.96861778084282,0,0
bus_1011,0.0,330000,349964.9999998404000,14.92838850886628,0,-53124483.32429346
bus_1012,0.0,689.9999999999999000,700.6673999998907000,9.416426090630896,30226535.7711347,1987945.791120729
bus_1013,0.0,689.9999999999999000,701.9300999998925000,9.353362528474202,32122197.2278725,3662973.205352129
bus_1014,0.0,689.9999999999999000,698.693999999916000,8.373941651475816,19277781.1919969,250773.2898318908
bus_1015,0.0,689.9999999999999000,691.2683010680546000,10.2815415588037,-567323.553623725,0
bus_1016,0.0,689.9999999999999000,691.0571352572226000,10.33207482353905,236101.17125269,0
bus_1017,0.0,23000,23258.06000000213000,12.41045145354788,533022754.9034099,40813935.51729337
bus_1018,0.0,23000,23422.5100000015000,13.05452814535401,631475495.5870295,88107268.5412591
bus_1019,0.0,23000,23536.36000000021000,13.64244859824255,597841707.5849703,99859206.76331187
bus_1020,0.0,23000,23362.70999999957000,14.31259158148057,627019671.3933097,65382090.86849993
bus_1021,0.0,33000,32953.22120994907000,17.43380828303851,83062384.75178969,0
bus_1022,0.0,16000,16427.04000000026000,5.144119136486958,81915077.46531327,4643114.664434343
bus_1023,0.0,689.9999999999999000,743.2196999993779000,11.01830255792177,38397424.2998332,1328679.742237033
bus_1024,0.0,689.9999999999999000,743.1644999993775000,11.01290645295916,33235892.5874866,985641.9546449702
bus_1025,0.0,689.9999999999999000,750.4370999994036000,9.937250975429427,20966006.3255453,16116364.03579968
bus_1026,0.0,132000,138405.6370947633000,8.882289795937091,0,0
bus_1027,0.0,132000,135232.6799998984000,10.70340308382816,79160474.62791389,7305823.182198506
bus_1029,0.0,16000,16361.89197088055000,-0.003946260780785413,0,0
bus_1030,0.0,16000,16306.08000000052000,4.706373784984359,77248042.30852662,-2691350.462662321
bus_1031,0.0,11000,10481.01999998091000,24.86836490130132,55970990.0665401,-6911023.425261213
bus_1032,0.0,33000,34867.81257774574000,-23.14241163171997,-176733903.01466,4113253.72574511
bus_1033,0.0,11000,10210.67997118077000,14.87508097447973,3337927.12396276,0
bus_1034,0.0,22000,21416.78000000123000,13.12980784018663,386709714.865716,16000346.52936377
bus_1036,0.0,22000,20505.10000000032000,14.13026797802986,390362835.7407823,-107580854.360761
bus_1037,0.0,22000,21462.76000000027000,14.19604504955022,407933931.8918239,28495921.31647166
bus_1038,0.0,15400.0,15076.13799997434000,29.43261390478714,246269390.6385188,11633545.07769188
bus_1039,0.0,15400.0,15061.96999997434000,29.06043145060584,246447849.0995591,7509718.955568605
bus_1040,0.0,15400.0,15154.67799997435000,29.46882876351581,248374173.9710185,23130234.28913802
bus_1041,0.0,15400.0,15120.64399997435000,29.68231897786813,256393839.002093,16993262.6029345
bus_1042,0.0,15400.0,15150.0579999743000,29.51225125185104,245271155.1680483,20147147.46470647
bus_1043,0.0,15400.0,15177.6239999743000,29.38278188549631,242368679.7935056,25138007.86828843
bus_1044,0.0,23000,22975.62000000855000,5.781007638305895,609687828.9464771,-113729774.410603
bus_1045,0.0,23000,23619.52191215129000,-1.021279768640452,0,0
bus_1047,0.0,17500.0,17324.44559899394000,-6.42680705590938,0,0
bus_1048,0.0,22000,22054.52537633046000,13.51768564508145,6321807.256489991,0
bus_1049,0.0,15000,15365.52088427000,-6.460367023172039,-1020726.95429423,-733871.9344178209
bus_1050,0.0,15000,15365.2937738289000,-6.464954253855753,-1120033.5927479,-730782.591217384
bus_1051,0.0,15000,15366.54363848791000,-6.460279788209045,-968675.146375224,-592623.299681395
bus_1052,0.0,15000,15366.69960445978000,-6.45878562638311,-939745.739394007,-586038.3047368382
bus_1053,0.0,550.00,572.7072657554634000,6.971322240952063,3060599.89218204,0
bus_1054,0.0,22000,22584.54461812636000,23.16550479858929,20564868.0556712,0
bus_1055,0.0,22000,22599.98969969253000,23.07335578409237,20355388.152305,0
bus_1056,0.0,11000,11169.26281397517000,16.16878072030653,-37325762.3166889,-4585303.36711928
bus_1057,0.0,550.00,587.7719634372961000,15.07249015472151,0,0
bus_1058,0.0,21000,20748.2100000066000,3.799744459526,402756034.0784228,636747.6847337624
bus_1059,0.0,11500.0,11672.72999997713000,26.55554402291894,0,3667255.53582824
bus_1060,0.0,11500.0,10866.57999997842000,32.22147552893529,30398959.6087625,-10168975.67813322
bus_1061,0.0,132000,133774.3725966896000,18.68287174311193,0,0
bus_1062,0.0,12000,12529.5503513386000,14.11267981644184,14282245.2541266,0
bus_1066,0.0,330000,338910.0000004549000,-11.36596408286945,0,-140964872.5030086
bus_1067,0.0,11000,10076.98999997643000,22.04129698999879,22593470.7990981,13133635.00649834
bus_1068,0.0,11000,11456.38999997423000,22.76213742824785,20559208.2879526,50926.47950553749
bus_1069,0.0,15750.00,16741.93499996855000,35.82441718589963,151998828.257293,-1904084.983150299
bus_1070,0.0,15750.00,16657.19999996859000,36.01166468070276,147744403.827981,-7402288.852069226
bus_1071,0.0,15750.00,16750.75499996858000,36.00342364179156,157048257.883772,-759671.6675313202
bus_1072,0.0,15750.00,16736.42249996862000,36.14345972925743,150918810.79843,-1381236.605616259
bus_1073,0.0,12500.0,12139.52775069412000,20.32284773310832,0,0
bus_1074,0.0,12500.0,12044.24999997953000,22.60603055253578,45501921.59566254,-9627608.734177819
bus_1075,0.0,12500.0,12128.12499997952000,22.99129928570131,49627317.4819871,-2096162.3462852
bus_1076,0.0,12500.0,12148.53283674904000,20.24984244031531,0,0
bus_1077,0.0,12500.0,12714.2294894397000,20.41908007855816,0,0
bus_1078,0.0,12500.0,12538.3749999785000,23.33733213330934,43195165.4210807,-12360408.06771562
bus_1079,0.0,12500.0,12659.37499997852000,23.4722096654911,41632737.26903837,-5090536.408682112
bus_1080,0.0,12500.0,12802.37499997852000,23.59073494107054,43040398.04063292,4279290.003545981
bus_1081,0.0,23000,23433.55000001952000,1.114119245169003,575612960.4063628,48245963.52863849
bus_1082,0.0,23000,23219.6500000194000,1.244714711594707,566225967.3344945,6478653.93296114
bus_1083,0.0,66000,67678.24010744015000,17.80184585832935,-17944003.52122634,-9016822.778878133
bus_1084,0.0,11000,11490.4900000172000,-13.73592315818436,33622414.0786135,-3082935.152056258
bus_1085,0.0,11000,11462.66000001703000,-13.34310763904506,34037052.0007346,-3450761.204034236
bus_1086,0.0,11000,11581.06571421675000,-19.45868148489789,0,0
bus_1087,0.0,11000,11584.69023626034000,-19.45817671796368,0,0
bus_1088,0.0,11500.0,12438.2119689868000,5.345717254579498,0,0
bus_1089,0.0,11500.0,12438.21196898678000,5.345717254579491,0,0
bus_1090,0.0,500000,520648.3099849116000,-2.650600156493706,0,0
bus_1091,0.0,330000,336366.7060541393000,-4.277768925890689,0,0
bus_1092,0.0,500000,523713.7278270875000,-6.089586014839488,0,0
bus_1093,0.0,330000,344815.595764619000,-8.899513338954277,0,0
bus_1094,0.0,132000,136567.7255288896000,-17.54779200337783,-37626704.57010611,-13560064.88609383
bus_1095,0.0,330000,352548.0971390298000,14.9277198448466,0,0
bus_1096,0.0,330000,338544.330314454000,-4.308838728235784,0,0
bus_1097,0.0,500000,523810.6766650047000,0.7743583451813953,0,0
bus_1098,0.0,330000,339515.0233407797000,0.3986422144461632,0,0
bus_1099,0.0,500000,527761.1717444198000,6.955676388074683,0,0
bus_1100,0.0,330000,341488.5962679487000,6.610155754468517,0,0
bus_1101,0.0,330000,337477.4686310364000,0.02303193433773126,0,0
bus_1102,0.0,330000,337171.7920142138000,8.460477570531758,0,0
bus_1103,0.0,330000,334109.1061747549000,11.70038682070796,0,0
