"Component ","Description ","Value "
"Control Sources","Description","A"
,,
Vref_gen_1002_1,,1.01556
Vref_gen_1003_2,,1.02626
Vref_gen_1004_3,,0.999
Vref_gen_1005_4,,1.00251
Vref_gen_1012_1,,1.01546
Vref_gen_1013_1,,1.01729
Vref_gen_1014_1,,1.0126
Vref_gen_1017_1,,1.01122
Vref_gen_1018_2,,1.01837
Vref_gen_1019_3,,1.02332
Vref_gen_1020_4,,1.01577
Vref_gen_1022_1,,1.02669
Vref_gen_1030_4,,1.01913
Vref_gen_1031_1,,0.95282
Vref_gen_1034_1,,0.97349
Vref_gen_1036_3,,0.93205
Vref_gen_1037_4,,0.97558
Vref_gen_1038_1,,0.97897
Vref_gen_1039_2,,0.97805
Vref_gen_1040_3,,0.98407
Vref_gen_1041_4,,0.98186
Vref_gen_1042_5,,0.98377
Vref_gen_1043_6,,0.98556
Vref_gen_1044_1,,0.99894
Vref_gen_1058_1,,0.98801
Vref_gen_1059_1,,1.01502
Vref_gen_1060_2,,0.94492
Vref_gen_1067_1,,0.91609
Vref_gen_1068_2,,1.04149
Vref_gen_1069_1,,1.06298
Vref_gen_1070_1,,1.0576
Vref_gen_1071_1,,1.06354
Vref_gen_1072_1,,1.06263
Vref_gen_1074_2,,0.96354
Vref_gen_1075_3,,0.97025
Vref_gen_1078_6,,1.00307
Vref_gen_1079_7,,1.01275
Vref_gen_1080_8,,1.02419
Vref_gen_1081_5,,1.01885
Vref_gen_1082_6,,1.00955
Vref_gen_1084_1,,1.04459
Vref_gen_1085_2,,1.04206
Vref_gen_2003_7,,0.97085
Vref_gen_2004_8,,0.9712
Vref_gen_2010_1,,1.06431
Vref_gen_2011_2,,1.05968
Vref_gen_2012_1,,0.97713
Vref_gen_2014_1,,0.97456
Vref_gen_2015_1,,1.00988
Vref_gen_2016_2,,1.0122
Vref_gen_2021_14,,0.95996
Vref_gen_2024_2,,0.96635
Vref_gen_2028_6,,0.97242
Vref_gen_2030_8,,0.96361
Vref_gen_2036_1,,0.95738
Vref_gen_2037_2,,0.93803
Vref_gen_2038_3,,0.94763
Vref_gen_2040_1,,0.98898
Vref_gen_2041_2,,0.99603
Vref_gen_2043_2,,1.00618
Vref_gen_2044_3,,1.01171
Vref_gen_2045_4,,0.9903
Vref_gen_2046_1,,0.99891
Vref_gen_2047_2,,0.99686
Vref_gen_2054_1,,1.06524
Vref_gen_2055_2,,1.07291
Vref_gen_2056_3,,1.07773
Vref_gen_2057_4,,1.07461
Vref_gen_2058_5,,1.07694
Vref_gen_2059_6,,1.08353
Vref_gen_2060_1,,0.97517
Vref_gen_2061_5,,0.97542
Vref_gen_2062_2,,0.97015
Vref_gen_2063_11,,0.99413
Vref_gen_2064_12,,0.989
Vref_gen_2069_1,,0.99081
Vref_gen_2073_1,,0.96625
Vref_gen_2091_1,,0.97029
Vref_gen_2092_1,,0.99185
Vref_gen_2093_2,,0.97286
Vref_gen_2094_3,,0.99223
Vref_gen_2095_4,,0.98956
Vref_gen_2322_3,,1.02644
Vref_gen_2323_4,,1.02602
Vref_gen_2324_1,,1.02719
Vref_gen_2325_2,,1.02592
Vref_gen_3154_3,,0.99783
Vref_gen_3155_1,,1.0006
Vref_gen_3156_2,,0.97188
Vref_gen_3264_1,,1.05379
Vref_gen_3295_1,,1.07483
Vref_gen_3301_1,,1.00241
Vref_gen_3417_1,,1.00238
Vref_gen_3418_2,,1.01725
Vref_gen_3419_3,,1.0801
Vref_gen_3420_4,,1.07699
Vref_gen_3421_5,,1.01396
Vref_gen_3422_6,,1.01738
Vref_gen_3423_1,,1.01525
Vref_gen_3424_2,,1.01123
Vref_gen_3425_3,,1.01182
Vref_gen_3426_4,,1.01054
Vref_gen_3430_1,,1.01726
Vref_gen_3431_2,,1.01886
Vref_gen_3434_1,,1.01934
Vref_gen_3435_2,,1.01637
Vref_gen_3436_3,,1.009
Vref_gen_3437_4,,1.06955
Vref_gen_3438_1,,0.96738
Vref_gen_3439_2,,0.96634
Vref_gen_3442_1,,0.98831
Vref_gen_3443_2,,0.98849
Vref_gen_3444_1,,0.97748
Vref_gen_3448_1,,1.01974
Vref_gen_3449_2,,1.02374
Vref_gen_3453_1,,0.94245
Vref_gen_3454_2,,0.9398
Vref_gen_3455_3,,0.94267
Vref_gen_3456_4,,0.93537
Vref_gen_3457_5,,1.01518
Vref_gen_3462_1,,1.00347
Vref_gen_3463_1,,0.92011
Vref_gen_3464_1,,1.00491
Vref_gen_3466_1,,0.99805
Vref_gen_3525_2,,0.98699
Vref_gen_3526_3,,0.98381
Vref_gen_3527_1,,0.99662
Vref_gen_3585_1,,1.0065
Vref_gen_3586_2,,1.00423
Vref_gen_3587_3,,0.99478
Vref_gen_3588_4,,1.00248
Vref_gen_3655_1,,1.00366
Vref_gen_3656_2,,1.0051
Vref_gen_4003_1,,0.99352
Vref_gen_4007_1,,0.99873
Vref_gen_4008_1,,0.9941
Vref_gen_4027_1,,0.98064
Vref_gen_4028_1,,0.98165
Vref_gen_4029_1,,0.97347
Vref_gen_4030_1,,0.98277
Vref_gen_4033_1,,0.97606
Vref_gen_4034_1,,0.96603
Vref_gen_4035_1,,0.9779
Vref_gen_4036_1,,0.97693
Vref_gen_4051_1,,1.09411
Vref_gen_4052_11,,0.99553
Vref_gen_4053_12,,0.99759
Vref_gen_4054_18,,0.99607
Vref_gen_4058_1,,1.00101
Vref_gen_4059_2,,0.99526
Vref_gen_4061_4,,1.00174
Vref_gen_4062_1,,1.00541
Vref_gen_4064_3,,1.01184
Vref_gen_4065_4,,1.00877
Vref_gen_4066_1,,1.01738
Vref_gen_4067_2,,1.01721
Vref_gen_4072_1,,1.0036
Vref_gen_4078_11,,1.0024
Vref_gen_4079_12,,1.00267
Vref_gen_4081_2,,1.01253
Vref_gen_4082_3,,0.96231
Vref_gen_4083_4,,0.98213
Vref_gen_5004_1,,0.98803
Vref_gen_5005_2,,0.98282
Vref_gen_5006_1,,0.9882
Vref_gen_5008_1,,1.05511
Vref_gen_5010_1,,0.98159
Vref_gen_5012_1,,0.94727
Vref_gen_5016_6,,0.99307
Vref_gen_5017_1,,1.05574
Vref_gen_5018_2,,1.05271
Vref_gen_5019_1,,1.05495
Vref_gen_5020_1,,1.04821
Vref_gen_5021_4,,1.05035
Vref_gen_5022_1,,1.00571
Vref_gen_5023_2,,1.0064
Vref_gen_5026_5,,1.00365
Vref_gen_5028_1,,1.03199
Vref_gen_5030_1,,0.96138
Vref_gen_5031_1,,0.95645
Vref_gen_5032_2,,0.9564
Vref_gen_5033_3,,0.9492
Vref_gen_5035_3,,1.02356
