"Component ","Connection type ","R Quality factor [3]","L [3] ","Base power ","Base voltage ","Base frequency ","Description ","Enable user initial value [3]","Initial current [3]"
"RLC","connection","R","L","pBase","vBase","fBase","Description","Enable_IC","I0_L"
,,(?),(H),(VA),(V),(Hz),,,(A)
Dec11_L1_line_4129_to_4148_1,Yg,[0 0 0],[35.3896218555828 35.3896218555828 35.3896218555828],3.3333333333333332E7,158771.3240271471,50,,[0 0 0],[0 0 0]
Dec11_L2_line_4129_to_4148_1,Yg,[0 0 0],[35.3896218555828 35.3896218555828 35.3896218555828],3.3333333333333332E7,158771.3240271471,50,,[0 0 0],[0 0 0]
Dec14_L1_line_4123_to_4292_1,Yg,[0 0 0],[43.5461368323442 43.5461368323442 43.5461368323442],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec14_L2_line_4123_to_4292_1,Yg,[0 0 0],[43.5461368323442 43.5461368323442 43.5461368323442],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec15_L1_line_4226_to_4243_1,Yg,[0 0 0],[281.757428949867 281.757428949867 281.757428949867],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec15_L2_line_4226_to_4243_1,Yg,[0 0 0],[281.757428949867 281.757428949867 281.757428949867],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec16_L1_line_4226_to_4243_2,Yg,[0 0 0],[186.708788271966 186.708788271966 186.708788271966],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec16_L2_line_4226_to_4243_2,Yg,[0 0 0],[186.708788271966 186.708788271966 186.708788271966],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec17_L1_line_4226_to_4292_2,Yg,[0 0 0],[188.329436063683 188.329436063683 188.329436063683],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec17_L2_line_4226_to_4292_2,Yg,[0 0 0],[188.329436063683 188.329436063683 188.329436063683],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec18_L1_line_4226_to_4326_2,Yg,[0 0 0],[69.410188706968 69.410188706968 69.410188706968],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec18_L2_line_4226_to_4326_2,Yg,[0 0 0],[69.410188706968 69.410188706968 69.410188706968],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec19_L1_line_4226_to_4327_1,Yg,[0 0 0],[38.4225214109286 38.4225214109286 38.4225214109286],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec19_L2_line_4226_to_4327_1,Yg,[0 0 0],[38.4225214109286 38.4225214109286 38.4225214109286],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec20_L1_line_4233_to_4234_1,Yg,[0 0 0],[27.164488346184 27.164488346184 27.164488346184],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec20_L2_line_4233_to_4234_1,Yg,[0 0 0],[27.164488346184 27.164488346184 27.164488346184],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec21_L1_line_4233_to_4236_1,Yg,[0 0 0],[64.77515977069341 64.77515977069341 64.77515977069341],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec21_L2_line_4233_to_4236_1,Yg,[0 0 0],[64.77515977069341 64.77515977069341 64.77515977069341],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec22_L1_line_4275_to_4289_1,Yg,[0 0 0],[43.2934103945919 43.2934103945919 43.2934103945919],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec22_L2_line_4275_to_4289_1,Yg,[0 0 0],[43.2934103945919 43.2934103945919 43.2934103945919],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec23_L1_line_4276_to_4279_1,Yg,[0 0 0],[41.5559987056347 41.5559987056347 41.5559987056347],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec23_L2_line_4276_to_4279_1,Yg,[0 0 0],[41.5559987056347 41.5559987056347 41.5559987056347],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec24_L1_line_4276_to_4281_1,Yg,[0 0 0],[83.4247425918069 83.4247425918069 83.4247425918069],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec24_L2_line_4276_to_4281_1,Yg,[0 0 0],[83.4247425918069 83.4247425918069 83.4247425918069],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec25_L1_line_4277_to_4285_1,Yg,[0 0 0],[20.6147276812014 20.6147276812014 20.6147276812014],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec25_L2_line_4277_to_4285_1,Yg,[0 0 0],[20.6147276812014 20.6147276812014 20.6147276812014],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec26_L1_line_4285_to_4286_1,Yg,[0 0 0],[61.440955254147 61.440955254147 61.440955254147],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec26_L2_line_4285_to_4286_1,Yg,[0 0 0],[61.440955254147 61.440955254147 61.440955254147],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec27_L1_line_4297_to_4334_1,Yg,[0 0 0],[5.26347375593761 5.26347375593761 5.26347375593761],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec27_L2_line_4297_to_4334_1,Yg,[0 0 0],[5.26347375593761 5.26347375593761 5.26347375593761],3.3333333333333332E7,38105.1177665153,50,,[0 0 0],[0 0 0]
Dec2_L1_line_4112_to_4133_1,Yg,[0 0 0],[197.212993699329 197.212993699329 197.212993699329],3.3333333333333332E7,158771.3240271471,50,,[0 0 0],[0 0 0]
Dec2_L2_line_4112_to_4133_1,Yg,[0 0 0],[197.212993699329 197.212993699329 197.212993699329],3.3333333333333332E7,158771.3240271471,50,,[0 0 0],[0 0 0]
Dec3_L1_line_4112_to_4134_1,Yg,[0 0 0],[485.880326647151 485.880326647151 485.880326647151],3.3333333333333332E7,158771.3240271471,50,,[0 0 0],[0 0 0]
Dec3_L2_line_4112_to_4134_1,Yg,[0 0 0],[485.880326647151 485.880326647151 485.880326647151],3.3333333333333332E7,158771.3240271471,50,,[0 0 0],[0 0 0]
Dec5_L1_line_4124_to_4125_1,Yg,[0 0 0],[291.963239644468 291.963239644468 291.963239644468],3.3333333333333332E7,158771.3240271471,50,,[0 0 0],[0 0 0]
Dec5_L2_line_4124_to_4125_1,Yg,[0 0 0],[291.963239644468 291.963239644468 291.963239644468],3.3333333333333332E7,158771.3240271471,50,,[0 0 0],[0 0 0]
Dec6_L1_line_4124_to_4143_1,Yg,[0 0 0],[325.470554712567 325.470554712567 325.470554712567],3.3333333333333332E7,158771.3240271471,50,,[0 0 0],[0 0 0]
Dec6_L2_line_4124_to_4143_1,Yg,[0 0 0],[325.470554712567 325.470554712567 325.470554712567],3.3333333333333332E7,158771.3240271471,50,,[0 0 0],[0 0 0]
