"Component ","Connection type ","R Quality factor [3]","L [3] ","Base power ","Base voltage ","Base frequency ","Description ","Enable user initial value [3]","Initial current [3]"
"RLC","connection","R","L","pBase","vBase","fBase","Description","Enable_IC","I0_L"
,,(?),(H),(VA),(V),(Hz),,,(A)
fSH_1217_R1,Yg,[0 0 0],[6.088822982837584 6.088822982837584 6.088822982837584],33333333.33333333,127017.0592217177,50,0.0,[0 0 0],[0 0 0]
fSH_2000_R1,Yg,[0 0 0],[0.4688718508921639 0.4688718508921639 0.4688718508921639],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_2000_R2,Yg,[0 0 0],[0.4621111917874746 0.4621111917874746 0.4621111917874746],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_2000_R3,Yg,[0 0 0],[0.4585112497627904 0.4585112497627904 0.4585112497627904],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_2203_R1,Yg,[0 0 0],[7.648488334429938 7.648488334429938 7.648488334429938],33333333.33333333,288675.1345948129,50,0.0,[0 0 0],[0 0 0]
fSH_2203_R2,Yg,[0 0 0],[7.667994757810124 7.667994757810124 7.667994757810124],33333333.33333333,288675.1345948129,50,0.0,[0 0 0],[0 0 0]
fSH_2205_R1,Yg,[0 0 0],[7.874355848155233 7.874355848155233 7.874355848155233],33333333.33333333,288675.1345948129,50,0.0,[0 0 0],[0 0 0]
fSH_2205_R2,Yg,[0 0 0],[8.169593462141073 8.169593462141073 8.169593462141073],33333333.33333333,288675.1345948129,50,0.0,[0 0 0],[0 0 0]
fSH_2246_R1,Yg,[0 0 0],[0.167004328354453 0.167004328354453 0.167004328354453],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_2247_R2,Yg,[0 0 0],[0.1770578110261609 0.1770578110261609 0.1770578110261609],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3558_R3,Yg,[0 0 0],[2.826355476760312 2.826355476760312 2.826355476760312],33333333.33333333,158771.3240271471,50,0.0,[0 0 0],[0 0 0]
fSH_3561_R3,Yg,[0 0 0],[2.942939919815645 2.942939919815645 2.942939919815645],33333333.33333333,158771.3240271471,50,0.0,[0 0 0],[0 0 0]
fSH_3573_R1,Yg,[0 0 0],[8.008123824308603 8.008123824308603 8.008123824308603],33333333.33333333,158771.3240271471,50,0.0,[0 0 0],[0 0 0]
fSH_3573_R2,Yg,[0 0 0],[7.989407971603562 7.989407971603562 7.989407971603562],33333333.33333333,158771.3240271471,50,0.0,[0 0 0],[0 0 0]
fSH_3591_R1,Yg,[0 0 0],[3.001789661764409 3.001789661764409 3.001789661764409],33333333.33333333,158771.3240271471,50,0.0,[0 0 0],[0 0 0]
fSH_4356_R1,Yg,[0 0 0],[1.112431206805812 1.112431206805812 1.112431206805812],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4356_R2,Yg,[0 0 0],[1.190129941810325 1.190129941810325 1.190129941810325],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4359_R2,Yg,[0 0 0],[0.7059519652681748 0.7059519652681748 0.7059519652681748],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4360_R1,Yg,[0 0 0],[0.6709664407233659 0.6709664407233659 0.6709664407233659],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4372_R1,Yg,[0 0 0],[0.450102422537053 0.450102422537053 0.450102422537053],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4373_R1,Yg,[0 0 0],[0.4274827514185605 0.4274827514185605 0.4274827514185605],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4400_R1,Yg,[0 0 0],[0.0725272474108261 0.0725272474108261 0.0725272474108261],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_4401_R2,Yg,[0 0 0],[0.07616658398063403 0.07616658398063403 0.07616658398063403],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
