ind,status,pd,qd
1,1,0.20671045722826004,0.17462410738534048
2,1,0.26816832053226136,0.19396963528569883
3,1,0.2760748659796185,0.19333037138208375
4,1,0.2746106247887898,0.19712231400646776
5,1,0.26059122995584316,0.05235470519884677
6,1,0.004309187980120908,0.0
7,0,0.0,0.0
8,1,0.24999025034878566,0.18770192374369965
9,1,0.24841399338291847,0.1888592137406743
10,1,0.2501832299048433,0.1886992420358833
11,1,0.25666168613873286,0.1899706108014462
12,0,0.0,0.0
13,1,0.00031716305795911323,0.00030058466760440606
14,1,0.0,-0.11151679454457653
15,1,0.0005980929632505376,0.0005878589454260498
16,1,1.3424078829199144,-0.031242812678854964
17,0,0.0,0.0
18,1,0.139315925720387,0.0787189116204545
19,1,0.1322565475433271,0.08274550868859923
20,1,0.14114412950952754,0.08018476963078601
21,1,0.0007164660235015401,0.0006641424065874706
22,1,0.0006655327618247161,0.0006894110601322116
23,1,0.0006920429850494945,0.0007041557319231562
24,1,0.0006797628665503012,0.0007070005000662154
25,1,0.0006981610602027331,0.0007186526688421757
26,1,0.0007173169984485613,0.0006705541304942634
27,1,0.2393998277389523,0.1972806878643776
28,0,0.0,0.0
29,1,0.007753078986999735,0.0055742302580985325
30,1,0.008507376900487371,0.00555076470568006
31,1,0.007357711963022955,0.0045013558548997
32,1,0.007137974474531216,0.004451338574843209
33,0,0.0,0.0
34,0,0.0,0.0
35,0,0.0,0.0
36,1,0.2835132179803779,0.03482833389974738
37,1,0.054662467272456786,0.018354704195260994
38,0,0.0,0.0
39,1,0.00032959318780340254,0.0003323059634693303
40,1,0.0003408215537066941,0.00036252116261263677
41,1,0.00028871972996415195,0.00030870274575453365
42,1,0.0002946611202805441,0.0002919050871309809
43,1,0.00028922571582848947,0.0002955849071553703
44,1,0.1998406456937192,0.11356204197293553
45,1,0.21236691963197454,0.11076191122179284
46,1,0.13629627008259326,0.06848857955824023
47,1,0.0007938713494703591,-0.013096977489392685
