ind,alpha_g,qg,pg
1,-7.135012081596287e-10,-7.05489816800849e-10,-9.93081587749854e-9
10,-6.583397718282855e-10,-6.50344902285016e-10,-9.930111524379828e-9
100,-1.6225617854005387e-9,-1.3257156522814798e-9,-9.953886904878769e-9
101,-1.670650566254215e-9,-1.4332718877692489e-9,-9.953929206859182e-9
102,-1.6449519831680822e-9,-1.3307655526822727e-9,-9.953852391509198e-9
103,-1.540655479071225e-9,-1.1701847575842038e-9,-9.931433076039434e-9
104,-1.5691817785142685e-9,-1.1758360672052483e-9,-9.931322635996288e-9
105,-4.2132405604619885e-9,-1.326762391343688e-9,-9.931344307046428e-9
106,-4.218240728963979e-9,-1.3265806258470706e-9,-9.93133192346973e-9
107,-4.259083232264608e-9,-1.3248724731652677e-9,-9.931226741972404e-9
108,-1.844831106711275e-9,-1.6033770251029716e-9,-9.93156629839979e-9
109,-3.333686154845615e-9,-1.5345356928546563e-9,-9.931608394040566e-9
11,-6.543171680680868e-10,-6.140026203990191e-10,-9.929985678848483e-9
110,-3.364776928923481e-9,-1.5374044309222158e-9,-9.931546244553304e-9
111,-1.1445214925711467e-9,-1.3074536819707133e-9,-9.931918172134467e-9
112,-1.1477090670996504e-9,-1.2562360657052827e-9,-9.932021393215348e-9
113,-9.568128467702462e-10,-8.530031926629796e-10,-9.953699416379332e-9
114,1.0000000057753473,0.003880189820429485,0.16856014063291147
115,1.0000000057753473,0.003678176013201849,0.17398241388920593
116,1.0000000057753473,-0.04445270806826584,0.10386791214565978
117,1.0000000057753473,-0.046173726628914565,0.09693857459581287
118,1.0000000057753473,-0.044031185317454945,0.1029515341826112
119,1.0000000057753473,-0.0464547431328382,0.10640999682397803
12,1.000000006119157,-0.24576104701774273,1.00102910038957
120,1.0000000057752494,-0.004954290762901504,0.0043833602915101825
121,-3.294925326210459e-9,-7.487318778270002e-10,-9.93125056160528e-9
122,-5.294211555080639e-9,-1.0091311302703699e-10,-9.930118459776553e-9
123,-3.754052387581213e-9,-6.313579260553021e-10,-9.931923314175111e-9
124,-6.484085009337646e-9,1.0586943531286708e-9,-9.920618928236872e-9
125,-3.2310405826629853e-9,-1.527044277500054e-9,-9.931793131535562e-9
126,-3.1961982971721003e-9,-1.732384955739649e-9,-9.931921271362288e-9
127,-3.2161907348321108e-9,-1.5261048353801075e-9,-9.931817569368745e-9
128,-1.639463893334721e-9,-1.6197174328515815e-9,-9.931558394081361e-9
129,-1.6174692104278271e-9,-1.6144064262586524e-9,-9.931623225137435e-9
13,1.0000000061154846,-0.25954265154005407,0.9953200371152854
130,-1.6023076948683778e-9,-9.703247820077529e-10,-9.931525549298284e-9
131,-1.4436924609108326e-9,-1.578795776505091e-9,-9.932045239923333e-9
132,-1.1167438718087786e-9,-7.554385920560316e-10,-9.953807132242897e-9
133,-1.1126571506066585e-9,-6.926715307221244e-10,-9.953724474478705e-9
134,1.0000000057606437,-0.02640701249101324,0.0181419862564816
135,1.0000000057362863,-0.01901724059924029,0.06099187441116528
136,1.000000005768708,-0.016406331464008304,0.01080223470542362
137,-6.595954248400838e-9,-2.347621442963118e-10,-9.949168361473232e-9
